feature,coefficient
LOC111102778,1.1377942084295976
LOC111128352,-0.43656788314352646
LOC111103896,-0.9782835329844398
LOC111100483,0.9093133780860805
LOC111133512,-0.03893011701545515
LOC111101829,1.5093044882734954
LOC111131490,0.6769204049314564
LOC111099596,-1.9780660710845808
LOC111124800,-1.1895464821212909
LOC111136229,-1.9383480187953204
LOC111121995,-0.4650285831397912
LOC111110104,-0.9532654097567237
LOC111131034,-0.8521624329077475
LOC111106307,2.0277403262095484
LOC111120183,-2.2286561751590503
INTERCEPT,1.0971155549297265
