feature,coefficient
LOC111102778,0.5204999945751901
LOC111128352,-0.4981002164763595
LOC111103896,-0.337154041662887
LOC111100483,0.10486015392570887
LOC111133512,0.22563303240642207
LOC111101829,0.03777981908076699
LOC111131490,0.6892224664524694
LOC111099596,0.3410768565902861
LOC111124800,-0.34853793460897753
LOC111136229,-0.18382321852758698
LOC111121995,0.10629114051389671
LOC111110104,-0.9715433401993423
LOC111131034,0.5909267609060069
LOC111106307,0.12530751906329543
LOC111120183,-0.334806342085228
INTERCEPT,0.10536726616203053
