n_test,auroc,aupr,brier,heldout,m,genes_kept
61,0.7075268817204301,0.7340679447532813,0.2845217762056968,P&S 2023,6,6
61,0.6924731182795699,0.7435429926060628,0.3313016694704364,P&S 2023,8,8
61,0.6623655913978496,0.7164261776208858,0.34116496841085303,P&S 2023,10,10
61,0.6913978494623656,0.7313676013805401,0.32993006732227337,P&S 2023,12,12
61,0.6505376344086021,0.6852802989292801,0.3395249504164239,P&S 2023,16,16
61,0.6634408602150538,0.7001736452491035,0.3533323648622215,P&S 2023,24,24
