gene,selection_prob,mean_abs_coef_when_selected
LOC111110104,1.0,0.09380710978453065
LOC111131034,1.0,0.07908197728130291
LOC111120183,1.0,0.07575288657603853
LOC111106307,1.0,0.07067665659728352
LOC111121995,1.0,0.06498615499905576
LOC111136229,1.0,0.0646310104847008
LOC111099674,1.0,0.061934831437678924
LOC111138507,1.0,0.05947933058466597
LOC111124997,1.0,0.05768955380737485
LOC111103931,1.0,0.05666109804840944
LOC111115618,1.0,0.05136978641815304
LOC111133620,1.0,0.04871435189667899
LOC111108768,1.0,0.047384810101560045
LOC111100476,1.0,0.04737243651884593
LOC111113015,1.0,0.04633479290890874
LOC111118198,1.0,0.039701578854621083
LOC111129881,1.0,0.03759358701215664
LOC111102778,1.0,0.03652170599541505
LOC111116942,1.0,0.036003683041996616
LOC111125316,1.0,0.032450374690988736
LOC111123503,1.0,0.031626153357719816
LOC111110962,1.0,0.030811895903981958
LOC111137658,0.9966666666666667,0.03843819783584113
LOC111118983,0.9966666666666667,0.03542200193381229
LOC111135810,0.9966666666666667,0.030241351432432416
LOC111103896,0.9933333333333333,0.03560738962077457
LOC111099118,0.99,0.04262079691201689
LOC111119396,0.9866666666666667,0.03513630007962007
LOC111120066,0.9866666666666667,0.031186104427909013
LOC111114634,0.9766666666666667,0.033072185896837546
LOC111120691,0.9766666666666667,0.03222387839664101
LOC111107426,0.9633333333333334,0.023743517589458453
LOC111131002,0.96,0.029923226084030228
LOC111122006,0.9566666666666667,0.03600219585095011
LOC111126316,0.9433333333333334,0.0225464017400812
LOC111132329,0.9366666666666666,0.029174515862575464
LOC111111314,0.9266666666666666,0.031831887182685
LOC111133512,0.9166666666666666,0.02165475803389155
LOC111113948,0.91,0.025378752505895556
LOC111120786,0.91,0.022343731263021624
LOC111116356,0.9033333333333333,0.024282393352988995
LOC111104098,0.8966666666666666,0.02472920852006077
LOC111135663,0.8766666666666667,0.025073039054621448
LOC111107425,0.8766666666666667,0.01721315510312527
LOC111105409,0.8733333333333333,0.02571944161176145
LOC111102730,0.87,0.022428628821765974
LOC111104313,0.8366666666666667,0.023824487692702342
LOC111125434,0.8333333333333334,0.019996878768158352
LOC111119471,0.8233333333333334,0.018416962333688756
LOC111101260,0.81,0.01697827224360186
LOC111115167,0.8,0.016587362035142633
LOC111135509,0.7933333333333333,0.02266631996147366
LOC111131490,0.79,0.021715949014968858
LOC111116089,0.77,0.01839543421641006
LOC111132926,0.7633333333333333,0.011623585639932226
LOC111122585,0.7566666666666667,0.01622195163021158
LOC111100670,0.7566666666666667,0.014661508208254171
LOC111132042,0.7233333333333334,0.013023658009401029
LOC111121088,0.72,0.018060765463368378
LOC111103538,0.7166666666666667,0.016535997861840786
LOC111124800,0.7133333333333334,0.016159609614947522
LOC111125313,0.6933333333333334,0.018967242109970035
LOC111132644,0.6933333333333334,0.015890972706008928
LOC111121522,0.6866666666666666,0.018227778326353535
LOC111114926,0.6666666666666666,0.019050090462455524
LOC111112629,0.6166666666666667,0.018015917286201034
LOC111132066,0.61,0.017334900579898713
LOC111118133,0.5966666666666667,0.021927034373446654
LOC111100909,0.5933333333333334,0.014547504158797414
LOC111099316,0.58,0.014553213947760603
LOC111125157,0.5633333333333334,0.014301354409361216
LOC111101979,0.5533333333333333,0.01403757302619215
LOC111111381,0.5466666666666666,0.015660551597594025
LOC111137711,0.54,0.01382546460122739
LOC111136222,0.5366666666666666,0.012906583064939577
LOC111102900,0.5266666666666666,0.016447087654045463
LOC111102397,0.52,0.016486844317508666
LOC111137049,0.51,0.015159399514333058
LOC111106077,0.5,0.015641560612796705
LOC111134182,0.49333333333333335,0.012707780735618568
LOC111125436,0.48333333333333334,0.012617026406486856
LOC111110592,0.4766666666666667,0.010717675708303271
LOC111114520,0.47,0.013922137405721761
LOC111117682,0.4533333333333333,0.011018895863978553
