sample,fastq_1,fastq_2,condition
SRX18040059,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040059_SRR22059132_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040059_SRR22059132_2.fastq.gz,sensitive
SRX18040060,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040060_SRR22059131_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040060_SRR22059131_2.fastq.gz,sensitive
SRX18040061,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040061_SRR22059130_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040061_SRR22059130_2.fastq.gz,sensitive
SRX18040062,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040062_SRR22059129_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040062_SRR22059129_2.fastq.gz,sensitive
SRX18040063,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040063_SRR22059128_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040063_SRR22059128_2.fastq.gz,tolerant
SRX18040064,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040064_SRR22059127_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX18040064_SRR22059127_2.fastq.gz,tolerant
SRX7172518,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172518_SRR10482877_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172518_SRR10482877_2.fastq.gz,sensitive
SRX7172519,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172519_SRR10482876_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172519_SRR10482876_2.fastq.gz,sensitive
SRX7172520,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172520_SRR10482875_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172520_SRR10482875_2.fastq.gz,sensitive
SRX7172521,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172521_SRR10482874_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172521_SRR10482874_2.fastq.gz,sensitive
