Sample,infection,BREED,treatment,Trait,tissue,collection_time,Collection_Date,BioProject,Gene,Count,log_CPM
SRX7656967,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,17590,2611.2477652909715,3.4168480813187756
SRX7656966,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,17590,61.8047736314459,1.7910220201006422
SRX7656965,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,17590,2104.6513606116105,3.3231801644459336
SRX7656964,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,17590,2673.4186728046143,3.4270669771068634
SRX7656963,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,17590,5577.383399044069,3.746430499676436
SRX7656962,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,17590,208.83302993027075,2.319799189646237
SRX7656961,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,17590,4815.336883922655,3.682626676031825
SRX7656960,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,17590,3848.4524503018665,3.5852861249869394
SRX7656959,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,17590,1878.0953099490978,3.2737176281508837
SRX7656958,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,17590,4097.4596745064455,3.612514688117946
SRX7656957,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,17590,206.42030004944692,2.314752404999437
SRX13037871,,,Control,sensitive,gill,0.0,,PRJNA778545,17590,55.84021015902578,1.7469470441196437
SRX13037870,,,Control,sensitive,gill,24.0,,PRJNA778545,17590,53.01873907809266,1.7244293948806992
SRX13037869,,,Control,sensitive,gill,3.0,,PRJNA778545,17590,52.64165671093324,1.721329548711796
SRX13037868,,,Injection,sensitive,gill,24.0,,PRJNA778545,17590,52.090428558446895,1.7167579304755658
SRX13037867,,,Injection,sensitive,gill,3.0,,PRJNA778545,17590,52.05267718005805,1.7164430711112253
SRX13037866,,,Control,tolerant,gill,0.0,,PRJNA778545,17590,0.0,
SRX13037865,,,Control,tolerant,gill,24.0,,PRJNA778545,17590,0.0,
SRX13037864,,,Control,tolerant,gill,3.0,,PRJNA778545,17590,0.0,
SRX13037863,,,Injection,tolerant,gill,24.0,,PRJNA778545,17590,0.0,
SRX13037862,,,Injection,tolerant,gill,3.0,,PRJNA778545,17590,0.0,
SRX9845543,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,17590,66.24826841398871,1.821174531241636
SRX9845542,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,17590,101.88150748055823,2.008095362338343
SRX9845541,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,17590,133.40284251237276,2.1251650835107108
SRX9845540,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,17590,174.3608161156793,2.2414488931152414
