Sample,infection,BREED,treatment,Trait,tissue,collection_time,Collection_Date,BioProject,Gene,Count,log_CPM
SRX7656974,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,39.53640062312386,1.5969971287948137
SRX7656973,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,73.61664290632889,1.8669760087028855
SRX7656972,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,131.5631245201169,2.1191341790834346
SRX7656971,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,9.79289107008843,0.9909109237164778
SRX7656970,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,40.26577648032928,1.604936078391089
SRX7656969,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,51.42974154335681,1.7112143418094043
SRX7656968,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,18810,79.44553333151681,1.900069484878756
SRX7656967,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,18810,41.13759096704069,1.614238855653451
SRX7656966,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,18810,89.55385567005425,1.9520842887912035
SRX7656965,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,18810,31.976747191612862,1.5048342834070114
SRX7656964,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,18810,74.15023966232432,1.8701125590576817
SRX7656963,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,18810,42.545234372697344,1.6288509204358343
SRX7656962,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,18810,112.99356341791366,2.05305370497281
SRX7656961,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,87.1857653077918,1.9404455840963615
SRX7656960,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,118.0780470291542,2.0721691614549504
SRX7656959,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,21.088593535731984,1.3240476162478374
SRX7656958,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,45.32749303119204,1.6563616998037212
SRX7656957,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,18810,78.72094020428406,1.8960902724544588
SRX13037871,,,Control,sensitive,gill,0.0,,PRJNA778545,18810,5.738252609137518,0.7587796628259283
SRX13037870,,,Control,sensitive,gill,24.0,,PRJNA778545,18810,9.99808465274213,0.9999168095583142
SRX13037869,,,Control,sensitive,gill,3.0,,PRJNA778545,18810,11.37365156049998,1.0558999192150682
SRX13037868,,,Injection,sensitive,gill,24.0,,PRJNA778545,18810,5.949629055687569,0.774489889410913
SRX13037867,,,Injection,sensitive,gill,3.0,,PRJNA778545,18810,8.76856110159554,0.9429283326012766
SRX13037866,,,Control,tolerant,gill,0.0,,PRJNA778545,18810,0.0,
SRX13037865,,,Control,tolerant,gill,24.0,,PRJNA778545,18810,0.0,
SRX13037864,,,Control,tolerant,gill,3.0,,PRJNA778545,18810,0.0,
SRX13037863,,,Injection,tolerant,gill,24.0,,PRJNA778545,18810,0.0,
SRX13037862,,,Injection,tolerant,gill,3.0,,PRJNA778545,18810,0.0,
SRX9845543,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,18810,0.0,
SRX9845542,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,18810,122.08765197043931,2.0866717413217533
SRX9845541,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,18810,74.29127508051816,1.8709378123220546
SRX9845540,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,18810,0.0,
SRX9845539,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,18810,168.9594819995652,2.227782569384286
SRX9845534,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,18810,79.83333859180011,1.9021842916370535
SRX9845523,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,18810,48.229928830967836,1.6833166210688708
SRX9845512,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,18810,0.0,
SRX9845511,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,18810,0.0,
SRX9845510,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,18810,0.0,
SRX9845509,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,18810,0.0,
SRX9845508,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,18810,109.83465995975124,2.0407394098223848
SRX9845507,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,18810,76.49260080743866,1.8836194275207585
SRX9845506,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,18810,0.16697793242905043,-0.7773409208138355
SRX9845505,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,18810,91.074552916493,1.9593970479746001
SRX9845504,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,18810,0.0,
SRX9845503,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,18810,57.950825023187,1.7630596232239812
SRX9845502,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,18810,0.0,
SRX9845501,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,18810,0.0,
SRX9845500,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,18810,0.0,
SRX9845538,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/1/2015,PRJNA691949,18810,0.0,
SRX9845537,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,18810,41.33378580737906,1.6163051846177103
SRX9845536,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,18810,26.680311665350974,1.42619089847358
SRX9845535,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,18810,0.0,
SRX9845533,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,18810,17.149039321125162,1.2342397961443787
SRX9845532,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,18810,0.0,
SRX9845531,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,18810,24.43343284284712,1.387984488666816
SRX9845530,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,18810,0.0,
SRX9845529,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,18810,0.0,
SRX9845528,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,18810,0.0,
SRX9845527,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,18810,0.1698557080380292,-0.7699198539881542
SRX9845526,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,18810,0.0,
SRX9845525,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,18810,0.0,
SRX9845524,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,18810,0.0,
SRX9845522,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,18810,0.0,
SRX9845521,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,18810,64.92912862376396,1.8124395744971156
SRX9845520,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/24/2015,PRJNA691949,18810,0.0,
SRX9845519,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/24/2015,PRJNA691949,18810,22.561087689316977,1.3533600335241303
SRX9845518,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/24/2015,PRJNA691949,18810,0.0,
SRX9845517,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/22/2015,PRJNA691949,18810,0.0,
SRX9845516,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/22/2015,PRJNA691949,18810,0.0,
SRX9845515,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/22/2015,PRJNA691949,18810,42.778778588676616,1.631228380521379
SRX9845514,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/1/2015,PRJNA691949,18810,53.115066237148916,1.7252177274011091
SRX9845513,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/1/2015,PRJNA691949,18810,0.0,
SRX18040064,,ABC_VIMS_Family_2017084,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040063,,ABC_VIMS_Family_2017084,Control,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.03133409247410527,-1.5039828792054601
SRX18040062,,ABC_VIMS_Family_2017120,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,27119,2.9870994283835866,0.4752496787406081
SRX18040061,,ABC_VIMS_Family_2017120,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.44394026954523685,-0.3526754586059463
SRX18040060,,ABC_VIMS_Family_2017090,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,27119,80.24145950135417,1.904398819409419
SRX18040059,,ABC_VIMS_Family_2017120,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,27119,2.665088981250677,0.4257117137081956
SRX18040057,,ABC_VIMS_Family_2017090,Control,sensitive,mantle,,6/20/2018,PRJNA894694,27119,168.76573497978535,2.227284275110858
SRX18040056,,ABC_VIMS_Family_2017089,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040055,,ABC_VIMS_Family_2017084,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040058,,ABC_VIMS_Family_2017090,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.6842490396691314,-0.16478580344168192
SRX18040054,,ABC_VIMS_Family_2017120,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,27119,1.2674389910390331,0.10292706347457947
SRX18040053,,ABC_VIMS_Family_2017120,Control,sensitive,mantle,,6/20/2018,PRJNA894694,27119,1.0200329692914263,0.008614209163817898
SRX18040052,,ABC_VIMS_Family_2017090,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,27119,125.18061425609444,2.0975370782875586
SRX18040051,,ABC_VIMS_Family_2017090,Control,sensitive,mantle,,6/20/2018,PRJNA894694,27119,135.54736656535226,2.1320910844598777
SRX18040049,,ABC_VIMS_Family_2017090,Control,sensitive,mantle,,6/20/2018,PRJNA894694,27119,184.79980847042455,2.266701516774343
SRX18040048,,ABC_VIMS_Family_2017089,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.05044197059424249,-1.2972079553763463
SRX18040046,,ABC_VIMS_Family_2017120,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.9817594312654262,-0.007994917990461843
SRX18040045,,ABC_VIMS_Family_2017090,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,27119,112.85490311292548,2.0525204322541
SRX18040044,,ABC_VIMS_Family_2017090,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.4526164029013785,-0.34426971118448857
SRX18040047,,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.19649648732003186,-0.7066452089077019
SRX18040043,,ABC_VIMS_Family_2017089,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040042,,ABC_VIMS_Family_2017089,Control,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.07455390292148409,-1.1275296161560475
SRX18040041,,ABC_VIMS_Family_2017084,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040040,,ABC_VIMS_Family_2017084,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040038,,ABC_VIMS_Family_2017120,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.8555643589895963,-0.06774731551770016
SRX18040037,,ABC_VIMS_Family_2017090,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.13380575236498413,-0.8735252156663276
SRX18040036,,ABC_VIMS_Family_2017084,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.1246025081165717,-0.9044732157007325
SRX18040039,,ABC_VIMS_Family_2017120,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.5852984516481633,-0.2326226247693803
SRX18040035,,ABC_VIMS_Family_2017090,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,27119,203.23691237624305,2.308002588382788
SRX18040034,,ABC_VIMS_Family_2017089,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040033,,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040032,,ABC_VIMS_Family_2017084,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040030,,ABC_VIMS_Family_2017120,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.8573938221173097,-0.066819650088307
SRX18040029,,ABC_VIMS_Family_2017120,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.562189441444528,-0.2501173151950291
SRX18040028,,ABC_VIMS_Family_2017090,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.9902758506170742,-0.004243811752436632
SRX18040031,,ABC_VIMS_Family_2017084,Control,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040027,,ABC_VIMS_Family_2017089,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040026,,ABC_VIMS_Family_2017084,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.06308755303960162,-1.2000563171336829
SRX18040025,,ABC_VIMS_Family_2017084,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.1292248432323417,-0.8886539860193949
SRX18040050,,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.040246375423452975,-1.3952732259662861
SRX18040006,,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040024,,ABC_VIMS_Family_2017120,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,27119,2.5492486516496444,0.4064121982674835
SRX18040023,,ABC_VIMS_Family_2017120,Control,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040022,,ABC_VIMS_Family_2017090,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,27119,83.53358929232289,1.9218611426815628
SRX18040021,,ABC_VIMS_Family_2017090,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,27119,67.58001093331477,1.829818257700462
SRX18040020,,ABC_VIMS_Family_2017089,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040019,,ABC_VIMS_Family_2017089,Control,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040018,,ABC_VIMS_Family_2017084,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040017,,ABC_VIMS_Family_2017089,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.31967952897009055,-0.4952851733622736
SRX18040016,,ABC_VIMS_Family_2017120,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,27119,0.308951884514899,-0.5101091513737415
SRX18040015,,ABC_VIMS_Family_2017120,Control,sensitive,mantle,,6/20/2018,PRJNA894694,27119,2.0139053401700298,0.3040390535026272
SRX18040014,,ABC_VIMS_Family_2017090,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,27119,142.28879801903352,2.153170710695549
SRX18040013,,ABC_VIMS_Family_2017090,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,27119,1.1351104533241168,0.055038123146094464
SRX18040012,,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040011,,ABC_VIMS_Family_2017089,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040010,,ABC_VIMS_Family_2017089,Control,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.047232668078651195,-1.3257575213064747
SRX18040009,,ABC_VIMS_Family_2017084,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040008,,ABC_VIMS_Family_2017084,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040007,,ABC_VIMS_Family_2017120,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,27119,1.3128295520797961,0.1182083442186593
SRX18040005,,ABC_VIMS_Family_2017084,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.0,
SRX18040004,,ABC_VIMS_Family_2017084,Control,tolerant,mantle,,6/20/2018,PRJNA894694,27119,0.06616128684484675,-1.179396056294371
SRX7656996,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,132.4860772983772,2.1221702415166983
SRX7656995,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656994,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656993,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656992,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656991,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.9370719606927282,-0.028227056997215845
SRX7656990,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656989,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.5879565435744816,-0.23065477185455055
SRX7656988,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,190.43533049401404,2.2797475239600793
SRX7656987,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656986,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656985,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656984,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,263.7560644273639,2.4212024539628545
SRX7656983,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656982,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656981,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656980,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656979,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656978,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,127.45712689282321,2.105364124494889
SRX7656977,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656976,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656975,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,123.239910919798,2.0907513757285274
SRX7656974,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656973,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,117.50348771587112,2.07005075744416
SRX7656972,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,245.44303337892774,2.3899507096563917
SRX7656971,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,1.3989844385840613,0.1458128837022209
SRX7656970,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,129.92423877652914,2.11369018097982
SRX7656969,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,112.28826903632904,2.050334387081525
SRX7656968,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,152.85722868848805,2.1842859815330873
SRX7656967,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,135.16637032027654,2.130868651656787
SRX7656966,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656965,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656964,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656963,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656962,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656961,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.67065973313686,-0.17349776821047522
SRX7656960,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656959,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,1.4059062357154657,0.14795635719215616
SRX7656958,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,0.0,
SRX7656957,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,27119,1.749354226761868,0.24287775867911518
SRX13037871,,,Control,sensitive,gill,0.0,,PRJNA778545,27119,263.19550083596664,2.420278461010255
SRX13037870,,,Control,sensitive,gill,24.0,,PRJNA778545,27119,150.73290193183044,2.178208060329305
SRX13037869,,,Control,sensitive,gill,3.0,,PRJNA778545,27119,300.1430612359721,2.477328307706015
SRX13037868,,,Injection,sensitive,gill,24.0,,PRJNA778545,27119,145.43629216196723,2.1626727938610872
SRX13037867,,,Injection,sensitive,gill,3.0,,PRJNA778545,27119,182.9287943934515,2.2622820721353745
SRX13037866,,,Control,tolerant,gill,0.0,,PRJNA778545,27119,0.0,
SRX13037865,,,Control,tolerant,gill,24.0,,PRJNA778545,27119,0.0,
SRX13037864,,,Control,tolerant,gill,3.0,,PRJNA778545,27119,0.0,
SRX13037863,,,Injection,tolerant,gill,24.0,,PRJNA778545,27119,0.0,
SRX13037862,,,Injection,tolerant,gill,3.0,,PRJNA778545,27119,0.0,
SRX9845543,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,27119,0.0,
SRX9845542,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,27119,0.0,
SRX9845541,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,27119,0.0,
SRX9845540,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,27119,0.1976880001311557,-0.7040196920165781
SRX9845539,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,27119,0.0,
SRX9845534,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,27119,0.0,
SRX9845523,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,27119,0.0,
SRX9845512,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,27119,0.0,
SRX9845511,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,27119,0.2365951039656036,-0.6259942467863732
SRX9845510,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,27119,0.18446194933619936,-0.7340932061857124
SRX9845509,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,27119,0.0,
SRX9845508,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,27119,0.18584544832445216,-0.7308480710588707
SRX9845507,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,27119,0.0,
SRX9845506,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,27119,0.0,
SRX9845505,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,27119,0.1785775547382216,-0.7481731281233363
SRX9845504,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,27119,0.0,
SRX9845503,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,27119,0.0,
SRX9845502,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,27119,0.0,
SRX9845501,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,27119,0.0,
SRX9845500,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,27119,0.0,
SRX9845538,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/1/2015,PRJNA691949,27119,0.0,
SRX9845537,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,27119,0.0,
SRX9845536,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,27119,0.0,
SRX9845535,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,27119,0.0,
SRX9845533,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,27119,0.0,
SRX9845532,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,27119,0.12839645639036013,-0.8914469621811019
SRX9845531,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,27119,0.0,
SRX9845530,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,27119,0.0,
SRX9845529,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,27119,0.0,
SRX9845528,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,27119,0.0,
SRX9845527,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,27119,0.0,
