"","gene_id","SRX18040024"
"1439","LOC111100685",0
"2399","LOC111101693",0
"2570","LOC111101867",75.8996298551154
"3245","LOC111102626",0.120664436178083
"8590","LOC111108291",0
"10092","LOC111109914",0
"17590","LOC111118025",3.46697816624352
"18810","LOC111119295",0.140412615732862
"27119","LOC111128064",11.7183522119211
"34478","LOC111135887",27.1240056535522
