feature,coefficient
LOC111102778,0.39058715194874727
LOC111128352,-3.0016958393467217
LOC111103896,-0.058668566236281396
LOC111100483,-0.9095155142444693
LOC111133512,-0.1693402460840115
LOC111101829,-0.3666672922083869
LOC111131490,1.0616091506386338
LOC111099596,1.9442351668623554
LOC111124800,-3.17165786082645
LOC111136229,-0.7428559096262297
LOC111121995,-2.2367451652107015
LOC111110104,-5.450214726161636
LOC111131034,1.4197149950432861
LOC111106307,-2.052293686163128
LOC111120183,-0.8267803314117773
INTERCEPT,2.4005704113137383
