SRR10482822
SRR10482836
SRR10482842
SRR10482843
SRR10482850
SRR10482851
SRR10482871
SRR10482833
SRR10482837
SRR10482838
SRR10482839
SRR10482840
SRR10482841
SRR10482845
SRR10482846
SRR10482847
SRR10482848
SRR10482849
SRR10482852
SRR10482865
SRR10482872
SRR10482873
SRR10482874
SRR10482875
SRR10482876
SRR10482877
SRR10482817
SRR10482821
SRR10482826
SRR10482827
SRR10482834
SRR10482835
SRR10482861
SRR10482862
SRR10482866
SRR10482867
SRR10482870
SRR10482816
SRR10482818
SRR10482819
SRR10482820
SRR10482823
SRR10482824
SRR10482825
SRR10482828
SRR10482829
SRR10482830
SRR10482831
SRR10482832
SRR10482844
SRR10482853
SRR10482854
SRR10482855
SRR10482856
SRR10482857
SRR10482858
SRR10482859
SRR10482860
SRR10482863
SRR10482864
SRR10482868
SRR10482869
