m,genes_kept,auroc_mean,auroc_min,aupr_mean,brier_mean
6,6,0.9996415770609319,0.9989247311827957,0.9996639784946236,0.054759016688350946
8,8,1.0,1.0,1.0,0.04870077429768913
10,10,1.0,1.0,1.0,0.03821605381686715
12,12,1.0,1.0,1.0,0.035359256519223586
16,16,1.0,1.0,1.0,0.033004225082300366
24,24,1.0,1.0,1.0,0.033700551412765005
