gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111109507	26.04612787	-4.368051	0.52286614	9.835727e-18	2.16618e-15
LOC111109515	8.0539752	1.317127	0.97831843	0.00309681	0.02046279
LOC111109523	8.4792922	3.310973	1.00396185	1.066379e-05	0.0001833273
LOC111109543	18.79188723	2.661503	0.53726506	9.77095e-09	4.247725e-07
LOC111109554	43.13951521	-3.178652	0.7917446	8.562696e-07	2.093153e-05
LOC111109591	100.08661855	1.288175	0.27297925	8.859801e-08	2.971725e-06
LOC111109596	147.12390018	-4.201476	0.50570972	1.211435e-17	2.547833e-15
LOC111109598	22.8960677	1.058955	1.06962793	0.008653503	0.04539583
LOC111109604	11.67706755	-1.392973	0.54059949	0.0002055628	0.002313821
LOC111109655	43.5876806	-1.385434	0.55435682	0.0002512308	0.002734258
LOC111109677	837.78075516	1.0051	0.1797679	1.401959e-09	7.472315e-08
LOC111109681	4.60351096	-4.414649	1.02206619	6.429268e-07	1.643935e-05
LOC111109685	13.37554812	1.340033	0.80579845	0.001638401	0.01242915
LOC111109705	13.33366456	-2.704773	0.43184718	5.04383e-12	4.426624e-10
LOC111109709	53.31092046	1.094039	0.73011614	0.003330023	0.02170885
LOC111109711	13.26378817	-1.537127	0.36555471	7.901464e-07	1.945777e-05
LOC111109714	12.50778804	1.774545	0.64904193	8.68116e-05	0.001120297
LOC111109740	113.33726281	-1.023761	0.38194797	0.0002814485	0.003007055
LOC111109742	15.12909049	-1.62259	0.50064251	2.463784e-05	0.000382173
LOC111109753	7.64945462	-1.126626	0.77615844	0.003432125	0.02220703
LOC111109795	9.20570956	1.745421	0.37115365	7.377107e-08	2.518384e-06
LOC111109828	8.75815607	-2.982493	0.56897302	2.42992e-09	1.184269e-07
LOC111109844	8.03878796	1.362624	0.44253317	5.45185e-05	0.000754884
LOC111109877	90.15382398	-1.051432	0.35441591	0.0001226259	0.001512257
LOC111109881	65.85535371	-2.058253	0.91302078	0.0002148952	0.002400348
LOC111109883	15.07298439	1.898362	0.68392365	6.853206e-05	0.0009212227
LOC111109884	12.20249338	3.406197	0.78849062	2.935647e-07	8.492278e-06
LOC111109893	85.3636112	-1.609749	0.8060412	0.0005828881	0.005439711
LOC111109913	83.38895952	-1.433357	0.26035398	1.348838e-09	7.220225e-08
LOC111109925	31.76552541	-1.214155	0.30965881	3.453296e-06	6.955755e-05
LOC111109969	92.78393322	1.782824	0.75113099	0.0002083263	0.002337038
LOC111109984	118.34963382	8.595955	1.41004074	1.94454e-11	1.513176e-09
LOC111109996	45.99622039	-1.227649	0.2231128	1.458434e-09	7.685586e-08
LOC111110005	13.77371224	1.028911	0.52996195	0.001550039	0.01190318
LOC111110015	11.57314926	-2.016762	0.55293338	4.254377e-06	8.353106e-05
LOC111110035	10.90307267	-1.858149	0.40852559	1.341206e-07	4.294985e-06
LOC111110040	11.69102347	1.086359	0.57736125	0.001585969	0.01213121
LOC111110064	25.99936637	-1.841994	0.4479526	8.812815e-07	2.147639e-05
LOC111110071	15.13510841	5.290755	0.99499493	1.208851e-08	5.103188e-07
LOC111110073	12.81096695	1.04625	0.43908913	0.0005623976	0.005291802
LOC111110104	114.87144763	2.148444	0.21671767	8.447998e-25	5.189961e-22
LOC111110123	16.86142157	4.949124	2.4561176	0.0001276144	0.001559769
LOC111110142	13.06494118	-1.40401	0.59288289	0.0003343732	0.003460081
LOC111110179	106.10741858	1.309136	0.26337696	2.466228e-08	9.516378e-07
LOC111110232	571.42116359	-1.644728	0.3614373	1.610635e-07	5.026775e-06
LOC111110234	51.76617036	1.044025	0.97908203	0.007805944	0.04202269
LOC111110259	20.43413949	-1.158677	0.51430336	0.0006275482	0.005782909
LOC111110266	13.46539553	1.199035	0.40192259	9.062497e-05	0.001165
LOC111110271	16.40246276	-1.670814	0.69334635	0.0002165367	0.002416371
LOC111110273	302.96222439	-2.800186	0.93304706	2.344018e-05	0.0003660274
LOC111110276	65.75561878	2.313072	0.52028384	1.317465e-07	4.224755e-06
LOC111110278	12.47701195	1.331336	0.66522077	0.0008348668	0.007250731
LOC111110296	30.36291113	-2.302299	0.43692683	2.264758e-09	1.12394e-07
LOC111110299	7.45295753	3.007544	1.14060682	6.154333e-05	0.00083628
LOC111110312	8.15723444	1.410938	0.41274105	1.757458e-05	0.0002843234
LOC111110318	10.01724216	1.390796	1.19621059	0.003983341	0.02494397
LOC111110334	9.10020059	1.323361	1.14029119	0.004342943	0.02672976
LOC111110336	7.50076024	-1.086191	0.83463354	0.004834088	0.02905328
LOC111110344	11.55437137	-1.44671	0.42184945	1.62889e-05	0.0002668522
LOC111110371	67.68685034	1.015453	0.50620918	0.001385282	0.01086698
LOC111110390	11.9210386	1.195773	0.43433327	0.0001728195	0.002019255
LOC111110448	10.4592228	-1.593333	0.38619583	1.052866e-06	2.495347e-05
LOC111110476	32.44905013	2.79388	0.7660666	2.966464e-06	6.117678e-05
LOC111110509	72.40882217	1.017682	0.34656404	0.0001428599	0.001719992
LOC111110518	46.22007916	-1.826592	0.55598893	1.718101e-05	0.0002791167
LOC111110574	151.62827531	1.8097	0.69739347	0.0001189368	0.001476905
LOC111110592	31.83614613	1.350554	0.39061547	1.647681e-05	0.0002691554
LOC111110604	50.50730501	-2.146188	0.53232781	8.854999e-07	2.153333e-05
LOC111110616	10.75805401	-1.850864	2.39141348	0.004395944	0.02700614
LOC111110648	31.12799047	1.152741	0.24483764	1.103101e-07	3.606707e-06
LOC111110661	122.31383155	1.039219	0.49953353	0.001129997	0.009278599
LOC111110663	7.91483662	6.037194	0.7100724	3.421997e-18	8.069345e-16
LOC111110674	11.25672684	3.566702	1.27274425	4.231723e-05	0.0006109435
LOC111110686	14.08248429	2.172079	0.8853897	0.0001238593	0.001524516
LOC111110713	21.19691535	-1.955409	0.53293967	4.191e-06	8.249486e-05
LOC111110715	9.73533087	6.213665	1.08600584	1.2616e-09	6.801861e-08
LOC111110721	92.00912462	3.876213	0.70015033	1.444267e-09	7.645445e-08
LOC111110748	8.16425135	-3.717858	1.30372178	3.821781e-05	0.0005600721
LOC111110757	120.64902071	1.161865	0.32351115	1.326334e-05	0.0002213243
LOC111110781	32.15395376	-2.890469	0.5386943	1.16461e-09	6.337488e-08
LOC111110782	45.78579919	-6.96626	1.01999295	8.373502e-13	8.283026e-11
LOC111110800	15.16302587	4.238492	0.64802449	5.864879e-12	5.052236e-10
LOC111110802	1140.23492567	1.105308	0.5779021	0.001439	0.01120402
LOC111110825	7.8505842	2.153386	0.98979207	0.0002414836	0.002640493
LOC111110832	6.20798976	1.802412	0.98850348	0.0006877076	0.00620585
LOC111110851	21.98017379	1.942052	0.47148596	7.695815e-07	1.907206e-05
LOC111110852	10.53427786	5.396211	0.76904497	4.255665e-13	4.376586e-11
LOC111110855	21.93379971	3.372935	0.87306293	1.70552e-06	3.778427e-05
LOC111110877	484.41004434	1.058216	0.66632113	0.002995801	0.01991372
LOC111110905	22.14118973	-2.810016	1.03211403	4.999323e-05	0.0007005354
LOC111110962	275.39631398	3.621812	0.39575257	3.0919749999999998e-21	1.093669e-18
LOC111110965	26.20020768	2.017657	0.43890785	8.976212e-08	3.006451e-06
LOC111110966	8.01867889	-1.23241	0.76322654	0.002117557	0.01520122
LOC111110970	15.20250955	2.483285	0.39085236	2.991553e-12	2.717424e-10
LOC111110976	57.59518177	1.384585	0.40575291	1.847308e-05	0.000296191
LOC111110987	18.37636279	6.977118	0.94892458	2.000367e-14	2.444951e-12
LOC111110996	12.88471682	-6.503844	0.88831917	3.346131e-14	4.005919e-12
LOC111111005	5.11826763	-2.221417	0.78030726	4.35317e-05	0.0006253831
LOC111111012	24.32365815	-2.429736	0.64032446	1.823739e-06	4.012741e-05
LOC111111014	10.78521675	-5.727192	1.35777143	1.147334e-06	2.686512e-05
LOC111111017	11.99828508	-2.055181	1.04771753	0.0004167648	0.004136639
LOC111111019	41.89327963	-3.789261	0.60172859	1.525192e-11	1.20697e-09
LOC111111037	77.73966708	3.20876	0.4552993	3.97729e-14	4.704489e-12
LOC111111038	45.88675554	1.11388	0.33489191	3.614211e-05	0.0005323265
LOC111111043	20.81800257	1.039929	0.59977528	0.002327065	0.01641249
LOC111111062	4.9663455	4.413275	0.93484053	1.289071e-07	4.139388e-06
LOC111111069	13.81677528	1.03133	0.26480136	5.473747e-06	0.000104138
LOC111111073	2670.56411472	-1.025201	0.37936803	0.0002651076	0.002861275
LOC111111075	26.01001556	-2.929468	0.70794508	4.592041e-07	1.232198e-05
LOC111111122	109.54421081	1.780742	0.46666832	2.958292e-06	6.106218e-05
LOC111111127	74.37609772	-1.116749	0.34950779	5.473839e-05	0.0007570307
LOC111111132	102.71881522	-1.141142	0.58588746	0.001258421	0.0100678
LOC111111134	8.35913043	2.474799	0.86354874	3.647186e-05	0.0005365063
LOC111111161	60.82816935	-1.408743	0.38583464	7.800561e-06	0.0001404041
LOC111111184	41.90970317	-1.014262	0.36005928	0.0001999826	0.00226411
LOC111111209	12.69781307	-1.770009	0.83911794	0.0003836731	0.00387198
LOC111111217	184.26342519	-2.822951	1.56775103	0.0004291121	0.004232421
LOC111111234	60.7390829	-1.480588	0.39631623	5.328751e-06	0.0001020506
LOC111111240	22.08296247	1.452934	0.70277974	0.0006116149	0.005654712
