gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111118339	50.33337	0.4299607	0.40214924	0.02330384	0.08718412
LOC111118340	112.6574	-0.09412629	0.10401944	0.2258547	0.4159312
LOC111118341	72.26212	0.06700952	0.15441633	0.4660729	0.6503282
LOC111118342	82.93566	-0.2718936	0.09248182	0.0003567233	0.0033229
LOC111118343	20.68632	-0.1022184	0.2028872	0.3296471	0.5273495
LOC111118344	8.261413	1.372924	0.37107512	4.979815e-06	9.046284e-05
LOC111118345	159.2326	-0.04752541	0.10763882	0.5442689	0.7131045
LOC111118346	702.8745	-0.01884044	0.06488223	0.7322144	0.842836
LOC111118348	19866.85	0.3871834	0.1660664	0.001006339	0.007692774
LOC111118350	208.1409	0.150514	0.14627636	0.1113383	0.2614345
LOC111118354	268.1413	0.0589721	0.1467636	0.5114348	0.6873625
LOC111118356	31.1446	-0.04132287	0.11608418	0.6108369	0.7609161
LOC111118357	140.4705	-0.01561343	0.05344663	0.7362971	0.8459138
LOC111118358	67.80908	-0.08836014	0.13361124	0.3139359	0.512008
LOC111118359	210.8465	-0.0657653	0.11920677	0.4265382	0.6161076
LOC111118360	12.13859	0.416887	0.30546812	0.01271275	0.05580436
LOC111118361	59.8405	-0.4404183	0.36402489	0.01683124	0.06882299
LOC111118362	122.3833	-0.09550351	0.12601941	0.2655599	0.4607686
LOC111118363	125.9638	-0.2876676	0.2489207	0.03363887	0.1139239
LOC111118364	314.0181	-0.09096247	0.0838516	0.1784632	0.3562705
LOC111118365	28.70802	0.2295599	0.21334115	0.05488065	0.1612257
LOC111118366	4.236118	0.04005238	0.15909329	0.6626197	0.7966908
LOC111118367	3744.068	0.2181074	0.10075257	0.006135792	0.03212622
LOC111118370	148.7903	-0.2665041	0.12047287	0.003172697	0.01916974
LOC111118371	488.6201	-0.02341252	0.07511268	0.7056582	0.8250735
LOC111118372	38.6212	-0.2194099	0.19652851	0.0543515	0.1601261
LOC111118373	57.10354	-0.1022972	0.13107247	0.2428549	0.4349783
LOC111118374	13.51793	-0.3063093	0.22608886	0.0196003	0.07707409
LOC111118375	9.763138	0.1207814	0.32727807	0.3395781	0.5373656
LOC111118376	111.0498	-0.09766294	0.09317586	0.179415	0.3575808
LOC111118377	2057.669	-0.02049302	0.14046205	0.8142792	0.8925722
LOC111118379	290.1626	-0.1747362	0.19309108	0.1091402	0.2577448
LOC111118380	41.04156	-0.07041319	0.10827346	0.3726573	0.5674815
LOC111118381	205.5255	0.6841689	0.21093408	5.804291e-05	0.0007265987
LOC111118382	692.6962	0.1404245	0.08225432	0.03872444	0.1259522
LOC111118383	690.7634	0.03113102	0.09543304	0.6704339	0.8016621
LOC111118384	1121.349	0.05298792	0.12210408	0.5246108	0.6986393
LOC111118385	1422.972	-0.07741499	0.0668383	0.1706649	0.3457699
LOC111118386	446.8369	0.0387307	0.1054571	0.6170048	0.7659811
LOC111118387	81.85524	0.08796776	0.23020309	0.4201323	0.6103367
LOC111118389	216.041	-0.02975152	0.06753441	0.6008592	0.7541227
LOC111118391	97.63677	-0.04052806	0.13077501	0.6348909	0.7782815
LOC111118393	30.01949	-0.4061542	0.31540993	0.01573663	0.0653503
LOC111118394	404.7557	-0.1105565	0.12181824	0.1930932	0.375003
LOC111118395	321.3755	0.03408366	0.19213728	0.7293681	0.840801
LOC111118396	1058.326	-0.03988355	0.14894741	0.6561949	0.7927682
LOC111118397	98.69357	0.00535515	0.11342623	0.9466443	0.9708911
LOC111118398	45.82226	0.100572	0.1208464	0.2327272	0.4236028
LOC111118399	53.4087	0.05446967	0.1328821	0.5278401	0.7016966
LOC111118400	8.026097	1.064096	0.80499677	0.003091121	0.01877924
