gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099046	15.6498	2.260412	0.60004802	3.068717e-06	5.856185e-05
LOC111099055	23.58376	-1.765176	0.34882364	1.816813e-08	6.610804e-07
LOC111099056	177.9026	1.038045	0.17535156	2.474331e-10	1.439097e-08
LOC111099069	10.70238	1.475844	0.34771249	9.82316e-07	2.173801e-05
LOC111099113	3.580752	1.299134	0.40269457	4.001663e-05	0.0005237971
LOC111099122	99.22037	1.277891	0.28336125	3.478774e-07	8.796157e-06
LOC111099131	19.4234	2.828456	0.90420105	2.002462e-05	0.0002934202
LOC111099133	17.2192	-1.341474	0.82105805	0.001727685	0.01157925
LOC111099153	54.77394	1.027149	0.22450953	3.005521e-07	7.788e-06
LOC111099168	29.01665	-1.739544	0.35982496	5.688164e-08	1.832679e-06
LOC111099169	19.33426	2.320832	0.62377439	3.496831e-06	6.539966e-05
LOC111099179	13.41852	-1.105095	0.31503649	1.872571e-05	0.0002770969
LOC111099189	6.086748	1.086438	0.45306866	0.0004390713	0.003811582
LOC111099201	37.35296	-1.618769	0.40398999	2.26197e-06	4.507761e-05
LOC111099202	33.45729	-1.335723	0.45378105	8.670344e-05	0.001001781
LOC111099223	11.3992	1.780457	0.64813145	9.544512e-05	0.001083106
LOC111099424	118.7472	-1.373633	0.25578755	4.681203e-09	2.017723e-07
LOC111099431	5.145039	3.506792	1.46987518	9.936019e-05	0.001121877
LOC111099433	7.711889	-1.337292	0.45960952	9.48604e-05	0.001077306
LOC111099463	6.84414	2.025884	0.39884221	1.190647e-08	4.559212e-07
LOC111099465	6.269196	1.1504	0.5708747	0.000990825	0.007407966
LOC111099480	39.25722	2.150638	0.52554248	9.630995e-07	2.136124e-05
LOC111099488	3.873835	3.201394	1.94053827	0.0004168579	0.003649065
LOC111099495	12.42049	-3.104897	0.94470289	1.254881e-05	0.0001966425
LOC111099498	700.345	-1.019034	0.51055019	0.001217935	0.008758772
LOC111099499	4.519058	4.116107	1.07035902	2.496862e-06	4.912432e-05
LOC111099501	6.47953	-4.449919	1.71964713	4.448167e-05	0.0005733014
LOC111099505	4.925038	1.460141	0.68860261	0.0005513346	0.00459655
LOC111099510	7.715243	-1.509721	0.63476768	0.0002962399	0.002772392
LOC111099526	8.652885	1.281539	0.34169481	7.324272e-06	0.0001240716
LOC111099534	23.08066	-1.158473	0.32861028	1.709239e-05	0.0002560357
LOC111099535	47.94065	2.371707	0.45709541	4.683076e-09	2.017723e-07
LOC111099554	9.021559	2.355233	0.71585879	1.422135e-05	0.0002181675
LOC111099555	3.878028	-1.928466	0.43636731	3.073799e-07	7.936804e-06
LOC111099558	14.42285	-3.267521	0.47770995	2.711523e-13	2.86374e-11
LOC111099569	54.7296	-1.278865	0.83293265	0.002271695	0.01433529
LOC111099572	5.80865	-1.795738	0.56808737	3.143684e-05	0.0004289574
LOC111099575	9.281039	-4.302026	0.88939903	5.683524e-08	1.832679e-06
LOC111099577	57.55055	3.815199	0.50944768	4.695233e-15	6.902464e-13
LOC111099581	7.559058	4.069546	0.55136179	1.250336e-14	1.685649e-12
LOC111099583	25.87932	-6.82541	1.18894447	1.350139e-10	8.457884e-09
LOC111099586	6.840556	-1.594439	0.548938	7.614501e-05	0.0008967884
LOC111099591	12.16387	-3.259104	0.5519795	1.080073e-10	6.929286e-09
LOC111099596	12.51146	5.137812	0.8071555	1.289073e-11	1.030378e-09
LOC111099618	8.854384	-5.698651	1.02197158	9.649709e-10	4.90108e-08
LOC111099627	23.91305	1.909709	0.36829225	8.016752e-09	3.270992e-07
LOC111099630	2.32785	-2.73182	0.92675799	3.32538e-05	0.0004491413
LOC111099632	23.7996	-7.130386	1.65524823	8.483397e-08	2.571832e-06
LOC111099635	54.99182	2.92856	0.94097468	2.067947e-05	0.0003006848
LOC111099646	73.36318	-1.726009	0.31630877	2.35099e-09	1.083121e-07
LOC111099689	9.286783	3.269615	0.77610499	5.356522e-07	1.295083e-05
LOC111099707	5.359771	2.540656	1.06023744	0.000134919	0.00144422
LOC111099709	5.209002	2.687495	1.65686539	0.0006060336	0.004969722
LOC111099711	43.23337	1.318252	0.30979202	1.024335e-06	2.261654e-05
LOC111099714	8.295843	-4.541174	1.34844025	8.729193e-06	0.000144687
LOC111099723	51.7979	-1.007131	0.26774341	8.257919e-06	0.0001380488
LOC111099725	96.70411	1.537114	0.20655274	6.712368e-15	9.486489e-13
LOC111099748	9.44904	-1.639278	0.54065981	5.201742e-05	0.0006503803
