gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099029	8.143444	-0.436437	0.45334806	0.03783469	0.1234777
LOC111099030	287.6275	-0.02501522	0.29437026	0.8492047	0.9224577
LOC111099033	98.04989	0.02408084	0.162193	0.8155335	0.9032901
LOC111099034	24.09108	0.6783918	0.27760243	0.000618797	0.005053854
LOC111099035	42.89396	0.5626567	0.32777484	0.00497216	0.02649554
LOC111099036	81.83415	-0.05675971	0.12377188	0.5277179	0.7082154
LOC111099038	636.4571	0.8188778	0.31284722	0.0003293648	0.003015907
LOC111099039	5.605018	-0.03634569	0.22505282	0.7599241	0.8678448
LOC111099040	577.7861	-0.1702263	0.14532789	0.09579468	0.2376808
LOC111099041	19.20811	-0.1911634	0.29164042	0.1857611	0.3687117
LOC111099042	2.46524	0.3290002	0.5211262	0.09970272	0.2439818
LOC111099043	30.68208	-0.2482773	0.2920189	0.1005306	0.2455354
LOC111099045	191.6919	-0.1652289	0.1133711	0.05940635	0.1706197
LOC111099046	15.6498	2.260412	0.60004802	3.068717e-06	5.856185e-05
LOC111099047	214.5324	0.1229505	0.15066999	0.2290441	0.4231039
LOC111099050	151.8132	-0.08895424	0.13456689	0.3490227	0.552226
LOC111099052	41.74538	-0.08034447	0.48079378	0.5966277	0.7589175
LOC111099053	1219.941	-0.05683499	0.12492155	0.5295011	0.7097294
LOC111099054	21.22343	-0.06369603	0.21596322	0.5891017	0.7536369
LOC111099055	23.58376	-1.765176	0.34882364	1.816813e-08	6.610804e-07
LOC111099056	177.9026	1.038045	0.17535156	2.474331e-10	1.439097e-08
LOC111099057	9.685132	-0.2643138	0.2628773	0.07022998	0.192053
LOC111099058	147.4976	-0.1033484	0.16726371	0.3341072	0.5371679
LOC111099060	90.80465	-0.04661613	0.15851812	0.6492423	0.7967725
LOC111099061	19.31067	0.04561755	0.27775936	0.7246215	0.8468681
LOC111099062	138.4277	-0.1039909	0.10869896	0.2105718	0.4001792
LOC111099063	430.6334	0.1062335	0.05978707	0.03969187	0.1277011
LOC111099064	561.5377	-0.5118757	0.39932078	0.01548769	0.06373504
LOC111099066	47.18751	-0.003961431	0.17881196	0.9706386	0.9855664
LOC111099067	596.5047	0.1139227	0.12024987	0.201553	0.3888955
LOC111099068	149.6341	0.01051316	0.12167237	0.9056708	0.9528126
LOC111099069	10.70238	1.475844	0.34771249	9.82316e-07	2.173801e-05
LOC111099070	20.82956	-0.1601098	0.2255735	0.2059257	0.3949253
LOC111099071	251.314	0.09885399	0.10674646	0.2273439	0.4209822
LOC111099072	19.99475	0.1120962	0.34417158	0.4379574	0.6326195
LOC111099073	368.8821	0.1805248	0.06894743	0.003761052	0.0212988
LOC111099075	6.158664	-0.1881002	0.33428892	0.2159267	0.4068496
LOC111099077	47.32486	-0.1079042	0.25424838	0.4022997	0.6004733
LOC111099078	6.711712	0.1509039	0.38085695	0.3267002	0.5295297
LOC111099079	500.538	-0.04733507	0.064624	0.370641	0.5726185
LOC111099080	8.892187	0.09868753	0.21778556	0.4116912	0.6095464
LOC111099081	261.7598	0.1012303	0.11643034	0.2447497	0.4423397
LOC111099082	6.706055	-0.6658143	0.70949394	0.02054672	0.07840362
LOC111099084	9.619599	-0.1589214	0.33320046	0.2835851	0.4852053
LOC111099087	69.65544	0.07846586	0.2755586	0.548726	0.724053
LOC111099088	3188.215	-0.01400596	0.18464062	0.8979173	0.9489996
LOC111099090	16901.55	-0.1793245	0.23644654	0.1708033	0.3493081
LOC111099092	11.9191	0.07035286	0.2085047	0.5459347	0.7215023
LOC111099093	436.1288	0.1095132	0.14379385	0.269523	0.470431
LOC111099094	5.504164	-0.03273739	0.18087783	0.7628134	0.869616
LOC111099095	63.31917	-0.08102491	0.09618972	0.2828379	0.4842526
LOC111099096	30.14513	0.1486672	0.21465429	0.2264947	0.4200088
