gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111106294	56.71993691	-0.03157044	0.24520699	0.7982393	0.9004208
LOC111106295	34.48627147	0.05294057	0.21685937	0.643709	0.8088808
LOC111106296	14.10411186	0.3482925	0.34852292	0.05313347	0.1690841
LOC111106298	116.6172209	5.446878	0.30861669	2.682905e-70	3.131621e-66
LOC111106299	26.05579659	0.1817971	0.27159399	0.1884608	0.3965048
LOC111106300	25.08562302	0.2276178	0.27849777	0.1162492	0.2895378
LOC111106301	16.90443878	0.0301082	0.22368399	0.7964016	0.8995638
LOC111106304	36.99962821	-0.3288967	0.28791579	0.04087719	0.1405249
LOC111106307	20.57392915	2.12456	0.32551119	1.536561e-12	1.429124e-10
LOC111106310	141.82493975	0.7171136	0.18494298	1.5134e-05	0.000249156
LOC111106311	85.53379967	-0.4348219	0.22956864	0.005609514	0.03248675
LOC111106314	103.43246097	0.1178905	0.16224015	0.2113507	0.42516
LOC111106316	443.22538167	0.1014765	0.14698661	0.2461503	0.4684803
LOC111106317	159.54226812	-0.6099604	0.21399018	0.0004374601	0.004305441
LOC111106318	32.9430303	0.7050332	0.38947107	0.003978566	0.02494082
LOC111106319	80.32396683	0.001775093	0.13380662	0.9825563	0.9924188
LOC111106322	3755.61961715	0.01142537	0.16929133	0.9055183	0.9547913
LOC111106324	86.94783614	-0.3654649	0.23465673	0.01399262	0.06478183
LOC111106325	88.52601654	0.2020372	0.23383436	0.1131752	0.2845041
LOC111106326	298.65030894	0.5976647	0.3727524	0.00781544	0.04205889
LOC111106328	27.36359594	0.1325944	0.2448501	0.293364	0.5214424
LOC111106331	118.51540936	0.02786781	0.11244321	0.6985932	0.8440898
LOC111106334	21.63835619	-0.1080541	0.30424177	0.4451896	0.6662898
LOC111106335	13.31779041	-0.1116183	0.29344651	0.4226982	0.6476417
LOC111106336	11.39577681	-0.1008815	0.3589468	0.5036317	0.712174
LOC111106339	10.01611699	0.8066932	0.5886377	0.007508031	0.0407332
LOC111106342	23.31265486	-5.688727	0.72243325	6.78637e-16	1.063274e-13
LOC111106343	46.04437016	0.008670364	0.16849118	0.9279888	0.9643494
LOC111106344	12.04481215	-0.03965566	0.20839249	0.7218246	0.8585183
LOC111106349	12.0384112	-0.7145951	0.43055375	0.005288162	0.03106496
LOC111106350	103.87880207	-0.2256331	0.32589689	0.1526241	0.3452195
LOC111106351	7.5897925	0.04032308	0.23434888	0.7373665	0.8676354
LOC111106352	130.83706122	0.01720177	0.16343698	0.8545059	0.9301273
LOC111106353	62.72899832	-0.01947284	0.15619469	0.8300945	0.9175452
LOC111106354	114.55034302	0.02398713	0.11628642	0.7445079	0.8714066
LOC111106355	306.29068258	0.1512923	0.24820559	0.238667	0.4598011
LOC111106357	58.01623265	0.2954669	0.28813673	0.05864704	0.1816043
LOC111106358	884.96740202	-0.1810585	0.23969249	0.1561953	0.3501513
LOC111106359	81.84682019	-0.2869971	0.16781608	0.01071893	0.05346867
LOC111106360	45.58282118	-0.07005813	0.14079009	0.4052272	0.6326086
LOC111106362	19.68016378	-0.6994066	0.43859808	0.006240801	0.03534081
LOC111106363	20.71580446	0.2501595	0.29588808	0.1013607	0.2640213
LOC111106364	69.04296793	0.3057894	0.25729514	0.03878066	0.1356103
LOC111106365	44.83576166	0.07814781	0.23471756	0.518034	0.7225501
LOC111106366	9.71395307	-5.6612	0.7738292	4.834479e-14	5.671403e-12
LOC111106367	7.00683896	-0.04493476	0.22515824	0.7015943	0.8458771
LOC111106368	12.82394575	-0.03674156	0.23024693	0.7573038	0.8791714
LOC111106377	187.93658778	-0.3312149	0.4342705	0.08865049	0.2416376
LOC111106378	553.6102703	-0.04210035	0.10860443	0.5498803	0.7458577
LOC111106380	45.80217936	0.7505236	0.29001624	0.0006425593	0.005887185
LOC111106381	29.63548681	0.1638219	0.21820612	0.1673953	0.3663145
LOC111106383	1141.1240308	0.1398448	0.33693175	0.3541122	0.583852
LOC111106384	25.51224961	0.3529297	0.31005547	0.03874483	0.1355591
LOC111106385	15.90029186	0.007184845	0.24487147	0.9535166	0.9777943
LOC111106386	21.80974234	-0.1355903	0.22166261	0.2512643	0.4735861
LOC111106390	148.4448245	-0.06878997	0.2015064	0.5275797	0.729728
LOC111106391	169.75456253	-0.3603934	0.43454092	0.07082447	0.2071707
LOC111106392	32.99774673	-0.01103605	0.18065579	0.9128774	0.9574136
LOC111106393	122.7366029	-0.04248625	0.17970309	0.6720138	0.8280081
LOC111106394	6.28182619	-0.149079	0.35925106	0.3387223	0.5679431
LOC111106398	40.14650436	-0.3176507	0.25771861	0.03390902	0.1235919
LOC111106399	113.67136816	-0.02559187	0.14556796	0.766503	0.8832624
LOC111106401	20.06753635	0.07013835	0.22530941	0.5508174	0.7465199
LOC111106404	22.16073941	-3.782805	0.4759719	1.243305e-16	2.198861e-14
LOC111106405	13.9116759	0.3651863	0.4283395	0.06681382	0.1992805
LOC111106408	53.4231956	0.1318272	0.20078832	0.2314137	0.4505814
LOC111106419	7.25021273	-0.1960034	0.33416508	0.2096651	0.4233012
LOC111106421	13.85986795	-0.05735397	0.20450814	0.6020404	0.7810733
LOC111106423	32.61170086	0.01517344	0.18117378	0.8806568	0.9429838
LOC111106424	16.58972262	4.570511	2.5138392	0.0002053282	0.002312295
LOC111106425	42.33114848	0.688447	0.45730003	0.007640212	0.04129677
LOC111106432	16.82988722	1.03086	0.76225675	0.004883717	0.02925593
LOC111106434	12.6939789	1.302611	0.45675778	0.0001131679	0.001415812
LOC111106435	88.08957885	0.2561621	0.29328196	0.0933899	0.2503948
LOC111106438	77.33435647	-0.42117	0.25627061	0.01039582	0.05233783
LOC111106439	25.04477621	-0.04658904	0.18037347	0.6432831	0.8084762
LOC111106440	8.00795406	0.261225	0.45155694	0.1578506	0.3524988
LOC111106441	7.26757133	-0.1752832	0.38860484	0.2837094	0.5109702
LOC111106442	9.75658007	0.2702562	0.32898218	0.09969804	0.2615113
