n_test,auroc,aupr,brier,heldout,m,genes_kept
35,1.0,1.0,0.10604696447672197,P&S 2020 2015,6,6
35,1.0,1.0,0.11506851503853281,P&S 2020 2015,8,8
35,1.0,1.0,0.05159049682825863,P&S 2020 2015,10,10
35,1.0,1.0,0.05894639398793781,P&S 2020 2015,12,12
35,1.0,1.0,0.054646831458355555,P&S 2020 2015,16,16
35,1.0,1.0,0.06984266336114492,P&S 2020 2015,24,24
