gene,coef
LOC111103896,6.876774812345916
LOC111102778,0.6928592747257991
LOC111101829,7.106710097241381
LOC111128352,3.333820073900939
LOC111099596,2.531362181969234
LOC111124800,1.2633223845567159
Intercept,5.994588118364402
