"sample","fastq_1","fastq_2","strandedness"
"SRX9845508","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845508_SRR13430601_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845508_SRR13430601_2.fastq.gz","auto"
"SRX9845509","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845509_SRR13430600_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845509_SRR13430600_2.fastq.gz","auto"
"SRX9845510","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845510_SRR13430599_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845510_SRR13430599_2.fastq.gz","auto"
"SRX9845511","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845511_SRR13430598_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845511_SRR13430598_2.fastq.gz","auto"
"SRX9845512","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845512_SRR13430597_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845512_SRR13430597_2.fastq.gz","auto"
"SRX9845513","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845513_SRR13430596_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845513_SRR13430596_2.fastq.gz","auto"
"SRX9845514","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845514_SRR13430595_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845514_SRR13430595_2.fastq.gz","auto"
"SRX9845515","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845515_SRR13430594_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845515_SRR13430594_2.fastq.gz","auto"
"SRX9845516","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845516_SRR13430593_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845516_SRR13430593_2.fastq.gz","auto"
"SRX9845517","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845517_SRR13430592_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845517_SRR13430592_2.fastq.gz","auto"
"SRX9845518","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845518_SRR13430591_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845518_SRR13430591_2.fastq.gz","auto"
"SRX9845519","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845519_SRR13430590_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845519_SRR13430590_2.fastq.gz","auto"
"SRX9845520","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845520_SRR13430589_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845520_SRR13430589_2.fastq.gz","auto"
