"sample","fastq_1","fastq_2","strandedness"
"SRX18040038","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040038_SRR22059151_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040038_SRR22059151_2.fastq.gz","auto"
"SRX18040039","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_2.fastq.gz","auto"
"SRX18040040","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040040_SRR22059150_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040040_SRR22059150_2.fastq.gz","auto"
"SRX18040041","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040041_SRR22059149_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040041_SRR22059149_2.fastq.gz","auto"
"SRX18040042","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040042_SRR22059148_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040042_SRR22059148_2.fastq.gz","auto"
"SRX18040043","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_2.fastq.gz","auto"
"SRX18040044","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040044_SRR22059145_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040044_SRR22059145_2.fastq.gz","auto"
"SRX18040045","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_2.fastq.gz","auto"
"SRX18040046","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040046_SRR22059143_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040046_SRR22059143_2.fastq.gz","auto"
"SRX18040047","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040047_SRR22059146_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040047_SRR22059146_2.fastq.gz","auto"
"SRX18040048","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040048_SRR22059142_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040048_SRR22059142_2.fastq.gz","auto"
"SRX18040049","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040049_SRR22059141_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040049_SRR22059141_2.fastq.gz","auto"
"SRX18040050","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040050_SRR22059166_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040050_SRR22059166_2.fastq.gz","auto"
"SRX18040051","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040051_SRR22059140_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040051_SRR22059140_2.fastq.gz","auto"
"SRX18040052","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040052_SRR22059139_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040052_SRR22059139_2.fastq.gz","auto"
"SRX18040053","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040053_SRR22059138_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040053_SRR22059138_2.fastq.gz","auto"
"SRX18040054","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040054_SRR22059137_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040054_SRR22059137_2.fastq.gz","auto"
"SRX18040055","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040055_SRR22059135_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040055_SRR22059135_2.fastq.gz","auto"
"SRX18040056","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040056_SRR22059134_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040056_SRR22059134_2.fastq.gz","auto"
"SRX18040057","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040057_SRR22059133_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040057_SRR22059133_2.fastq.gz","auto"
"SRX18040058","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040058_SRR22059136_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040058_SRR22059136_2.fastq.gz","auto"
"SRX18040059","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040059_SRR22059132_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040059_SRR22059132_2.fastq.gz","auto"
"SRX18040060","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040060_SRR22059131_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040060_SRR22059131_2.fastq.gz","auto"
"SRX18040061","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040061_SRR22059130_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040061_SRR22059130_2.fastq.gz","auto"
"SRX18040062","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040062_SRR22059129_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040062_SRR22059129_2.fastq.gz","auto"
"SRX18040063","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040063_SRR22059128_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040063_SRR22059128_2.fastq.gz","auto"
"SRX18040064","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040064_SRR22059127_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040064_SRR22059127_2.fastq.gz","auto"
"SRX7656957","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX7656957_SRR10995912.fastq.gz","","auto"
"SRX7656958","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX7656958_SRR10995911.fastq.gz","","auto"
"SRX7656959","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX7656959_SRR10995910.fastq.gz","","auto"
"SRX7656960","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX7656960_SRR10995909.fastq.gz","","auto"
"SRX7656961","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX7656961_SRR10995908.fastq.gz","","auto"
"SRX7656962","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX7656962_SRR10995907.fastq.gz","","auto"
"SRX7656963","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX7656963_SRR10995906.fastq.gz","","auto"
"SRX7656964","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX7656964_SRR10995905.fastq.gz","","auto"
"SRX7656965","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX7656965_SRR10995904.fastq.gz","","auto"
