feature,coefficient
LOC111103066,-5.770541405372343
LOC111133512,1.9737271270779821
LOC111109496,-2.281469705029083
LOC111116766,2.1441357573981725
LOC111125640,4.05731704524715
LOC111102778,1.7524626286300227
INTERCEPT,-0.9147732219623351
