gene_id,n_analyses,analyses
LOC111100693,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100842,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100855,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100858,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100867,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100881,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100894,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100906,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100921,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100923,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100924,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100926,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100931,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100937,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100939,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100940,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100993,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111100995,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101060,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101072,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101078,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101093,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101097,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101117,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101137,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101152,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101173,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101201,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101211,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101232,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101237,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101239,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101243,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101249,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101260,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101264,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101295,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101316,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101543,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101550,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101606,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101781,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101793,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101808,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101819,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101829,2,cross_study_DEG_comparison; final_consensus_genes
LOC111101841,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101845,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101853,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101857,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101858,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101864,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101876,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101946,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111101967,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102089,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102109,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102154,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102272,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102276,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102291,2,ds1-5_allDEGs_merged; top_50_predictive_genes_for_classification
LOC111102380,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102569,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102633,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102685,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102697,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102735,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102736,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102872,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102902,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111102942,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103066,2,cross_study_DEG_comparison; final_panel_gene_list
LOC111103151,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103155,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103214,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103262,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103270,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103274,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103306,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103323,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103375,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103381,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103394,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103402,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103412,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103416,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103427,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103550,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103626,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103649,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103692,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103816,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103829,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103860,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103888,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103901,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103965,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103982,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103994,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111103999,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104000,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104053,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104102,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104137,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
