Row.names,logFC,logCPM,LR,PValue,FDR,Protein.Name
gene36266,0.643228501,2.684338319,0.824854107,0.363764751,0.934270028,G-protein coupled receptor 54-like isoform X1
gene36270,1.961199382,2.597789427,3.329165341,0.068061406,0.778037093,uncharacterized protein LOC111115120 isoform X1
gene36275,2.023165708,2.609788641,13.51829093,0.000236249,0.087658607,cell death abnormality protein 1-like isoform X1
gene36279,0.850114865,4.783818184,2.186319787,0.139241662,0.864329875,uncharacterized protein LOC111114704
gene36282,1.733578705,4.001998582,2.967889411,0.084932597,0.811075042,carbonic anhydrase 3-like isoform X2
gene36283,-0.174131557,5.5629764,0.332074281,0.564440222,0.974871053,uncharacterized protein LOC111113403
gene36287,0.48310599,2.767845695,0.519056766,0.471244316,0.956091449,uncharacterized protein LOC111115115
gene36288,1.916379706,6.184220022,9.217817065,0.002396711,0.309601855,uncharacterized protein LOC111113298
gene36290,0.406721389,3.438077369,0.164115157,0.685395708,0.984120103,mannose-binding protein A-like
gene36293,0.074927081,3.052296601,0.014003275,0.905801883,0.993795637,probable C-mannosyltransferase DPY19L1 isoform X1
gene36294,0.210100062,5.323317797,0.265333689,0.606479291,0.978656963,uncharacterized protein C7orf72-like isoform X1
gene36297,0.43781075,4.812306634,0.43003744,0.511970577,0.964299122,cholecystokinin receptor-like
gene36298,0.354135619,7.417133428,0.800685839,0.370888394,0.937802659,multidrug resistance protein 1-like isoform X1
gene36299,0.922638606,6.323031269,5.30167718,0.021304901,0.592561664,multidrug resistance protein 1-like isoform X1
gene3630,0.501656971,2.889784043,1.005989596,0.315865528,0.932260097,uncharacterize lncRNA
gene36300,-0.127200711,12.99844914,0.154791176,0.693998151,0.98412449,tubulin alpha-1A chain
gene36301,-0.105326953,5.204497621,0.053759528,0.816645968,0.992241237,integrin alpha-4-like isoform X1
gene36304,-0.087520376,4.676948142,0.059607398,0.807117544,0.991016053,dentin sialophosphoprotein-like
gene36305,0.497777439,5.441043553,1.169752738,0.279452052,0.928733489,COMM domain-containing protein 3-like
gene36306,0.066451244,6.993057736,0.074182204,0.785342073,0.98882458,LOW QUALITY PROTEIN: WAS/WASL-interacting protein family member 1-like
gene36307,-0.338111733,5.751597096,0.978040303,0.322683103,0.932260097,LOW QUALITY PROTEIN: protein LSM12 homolog
gene36308,-0.413706596,2.730587108,0.312721968,0.576014661,0.976289195,glutamic acid-rich protein-like
gene36309,0.304263794,4.361262767,0.251246686,0.616198612,0.978656963,uncharacterized protein LOC111110792
gene36311,-0.739410598,3.373241719,2.577222921,0.108411712,0.838567175,"LOW QUALITY PROTEIN: uncharacterized protein LOC111114112, partial"
gene36313,0.206977101,4.08345491,0.101465614,0.750077879,0.987968907,LOW QUALITY PROTEIN: solute carrier family 28 member 3-like
