LOC_ID,Gene_description,Canonical_XP,N_studies,DS1_identified,DS1_n_comparisons,DS1_comparisons,DS2_identified,DS2_n_comparisons,DS2_comparisons,DS3_identified,DS3_n_comparisons,DS3_comparisons,DS4_identified,DS4_n_comparisons,DS4_comparisons,DS5_identified,DS5_n_comparisons,DS5_comparisons
LOC111099603,vacuolar protein sorting-associated protein 13A-like isoform X3,XP_022286652.1,2,Yes,1,fam90_vs_fam84,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111099726,uncharacterized protein LOC111099726 isoform X1,XP_022286851.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111099746,multidrug resistance-associated protein 5-like isoform X2,XP_022286882.1,2,Yes,1,fam90_vs_fam120,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111099776,tektin-2-like,XP_022286938.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111099931,uncharacterized protein LOC111099931,XP_022287167.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111099993,uncharacterized protein LOC111099993 isoform X1,XP_022287252.1,2,Yes,1,fam90_vs_fam120,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111099995,acetyl-CoA carboxylase-like isoform X1,XP_022287255.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111100020,GTPase IMAP family member 7-like isoform X2,XP_022287294.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111100061,uncharacterized protein LOC111100061,XP_022287361.1,2,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111100079,hemicentin-1-like isoform X3,XP_022287391.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111100086,uncharacterized protein LOC111100086,XP_022287402.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111100170,mucin-5AC-like,XP_022287529.1,2,Yes,1,fam90_vs_fam120,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111100227,uncharacterized protein LOC111100227 isoform X2,XP_022287597.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111100307,uncharacterized protein LOC111100307 isoform X1,XP_022287744.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111100362,uncharacterized protein LOC111100362 isoform X1,XP_022287838.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111100398,putative glutamate synthase [NADPH] isoform X3,XP_022287922.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,2,28d_fed_vs_inj; 7d_fed_vs_inj,No,0,
LOC111100408,baculoviral IAP repeat-containing protein 2-like,XP_022287977.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111100426,far upstream element-binding protein 1-like isoform X2,XP_022288019.1,2,Yes,1,fam90_vs_fam120,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111100432,baculoviral IAP repeat-containing protein 7-A-like,XP_022288031.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111100443,baculoviral IAP repeat-containing protein 3-like isoform X2,XP_022288056.1,2,Yes,1,fam90_vs_fam84,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
