gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099056	29.25130838	1.345897	0.21351601	6.688522e-12	1.936371e-10
LOC111099118	35.97700986	1.128294	0.10858917	1.670172e-26	3.03076e-24
LOC111099202	35.37653982	-1.465885	0.27482661	1.265852e-09	2.489556e-08
LOC111099228	25.34971935	-1.05306	0.19864799	6.794393e-09	1.134677e-07
LOC111099579	64.00132296	-2.164607	0.26873335	3.509507e-18	2.38511e-16
LOC111099649	38.17630205	1.700397	0.23894872	6.555645e-15	2.892042e-13
LOC111099656	28.57501966	-1.357077	0.2646633	5.803611e-09	9.898756e-08
LOC111099680	80.5363841	-1.479433	0.22579416	7.500458e-13	2.472342e-11
LOC111099711	43.81109188	-1.890716	0.25616227	6.405653e-16	3.212316e-14
LOC111099745	33.02127984	1.266415	0.22761213	7.832864e-10	1.612562e-08
LOC111099753	32.20895109	1.503212	0.17306698	4.649637e-20	4.051629e-18
LOC111099765	40.52615137	1.183503	0.25013118	7.897428e-08	1.07344e-06
LOC111099800	36.61732973	1.706163	0.28697516	1.63598e-11	4.464576e-10
LOC111099902	29.79376514	-1.204281	0.22158519	2.022752e-09	3.812043e-08
LOC111099910	100.09263501	-1.870598	0.40312462	1.463765e-08	2.323281e-07
LOC111099922	61.00916484	1.486412	0.14057581	5.328442e-28	1.1872310000000001e-25
LOC111099927	146.71910806	-1.010085	0.5291226	0.0009017933	0.004308731
LOC111099972	84.3186541	-1.044255	0.26368507	3.282701e-06	3.006353e-05
LOC111099976	168.6290877	-1.254959	0.29985333	6.84307e-07	7.50478e-06
LOC111100080	57.09217138	-1.019667	0.27360338	8.270565e-06	6.863672e-05
LOC111100103	210.16858861	2.261983	0.32319946	1.163949e-14	4.948751e-13
LOC111100255	36.10742514	-1.398555	0.16266689	1.624166e-19	1.3235450000000001e-17
LOC111100278	30.98910495	-1.218227	0.1955107	1.759217e-11	4.749346e-10
LOC111100394	37.31421289	1.654461	0.31914615	1.485377e-09	2.889018e-08
LOC111100413	176.98162828	-1.075845	0.13113768	1.558511e-17	9.525316e-16
LOC111100432	66.25019111	-1.619842	0.20953868	8.167266e-17	4.637426e-15
LOC111100442	124.56010911	1.087555	0.23718691	2.123851e-07	2.636392e-06
LOC111100476	145.17884333	3.728186	0.13379028	2.345034e-174	4.127728e-170
LOC111100506	55.44643553	1.574861	0.18532436	1.747778e-19	1.4047670000000002e-17
LOC111100552	28.12745459	1.055909	0.19900103	6.564786e-09	1.101557e-07
LOC111100557	25.48906961	1.016345	0.16532703	5.593553e-11	1.400414e-09
LOC111100596	96.81187179	1.129827	0.18511298	5.292404e-11	1.333815e-09
LOC111100603	113.96215568	-1.024642	0.08586064	6.439790000000001e-34	2.138739e-31
LOC111100606	76.90929489	-1.200316	0.19168168	1.543753e-11	4.252447e-10
LOC111100670	32.01609393	1.596513	0.16928782	3.3576770000000003e-23	4.314002e-21
LOC111100677	67.15430281	1.273804	0.37981488	1.284524e-05	0.0001011189
LOC111100725	26.48837152	-1.23561	0.20002033	2.307407e-11	6.089203e-10
LOC111100728	31.33410316	1.120185	0.1959827	5.537261e-10	1.161703e-08
LOC111100858	136.35671391	1.260466	0.25852964	2.996818e-08	4.440235e-07
LOC111100922	70.55537626	-2.714707	0.31072298	2.0063339999999998e-20	1.829818e-18
LOC111100931	69.7104068	-1.39002	0.32991056	3.75196e-07	4.376541e-06
LOC111100999	127.6490248	1.040998	0.23496564	4.84791e-07	5.5018e-06
LOC111101123	83.4378031	-1.027908	0.07616415	1.356802e-42	9.185548000000001e-40
LOC111101204	251.93740902	-3.528704	0.52092879	5.515695e-15	2.457905e-13
LOC111101236	105.86881984	-1.602693	0.17593401	6.66247e-22	7.239062e-20
LOC111101239	36.73821604	-1.313409	0.20693743	5.794755e-12	1.69153e-10
LOC111101243	95.36951765	-1.151275	0.23542112	4.1076e-08	5.902202e-07
LOC111101260	32.22546036	1.521978	0.13461184	1.3941860000000001e-31	4.023026e-29
LOC111101367	50.83671233	-1.20827	0.27172554	2.655872e-07	3.224045e-06
LOC111101506	43.01342693	-1.18407	0.29046466	1.35495e-06	1.381797e-05
LOC111101531	33.30552425	-1.297678	0.32945359	1.562237e-06	1.563302e-05
LOC111101550	32.8931235	1.912076	0.22671322	1.318632e-19	1.089698e-17
LOC111101678	126.78633224	-1.198271	0.17578293	3.963246e-13	1.370551e-11
LOC111101706	44.73085577	-1.463384	0.22493696	1.091775e-12	3.54565e-11
LOC111101717	109.79463554	-1.931431	0.45757851	8.976713e-08	1.20433e-06
LOC111101722	70.03293018	2.245984	0.38218328	1.609193e-11	4.398294e-10
LOC111101725	45.0196453	-1.322984	0.23524228	4.463207e-10	9.499561e-09
LOC111101787	38.01847813	1.880097	0.26926529	1.204876e-14	5.110416e-13
LOC111101830	39.25715961	-1.314961	0.30838754	3.976092e-07	4.610486e-06
LOC111101834	82.45328929	2.570529	0.25209168	1.948764e-26	3.500219e-24
LOC111101859	29.91921313	-1.097785	0.26960446	1.820906e-06	1.791593e-05
LOC111102109	41.26570749	-2.250163	0.2209349	1.315903e-26	2.479461e-24
LOC111102235	182.17265402	-1.056853	0.20593009	1.632986e-08	2.561838e-07
LOC111102259	133.70042177	-2.308971	0.38654476	9.313976e-12	2.657125e-10
LOC111102272	71.06340832	1.105945	0.24064922	1.914119e-07	2.39803e-06
LOC111102406	63.02034827	1.813869	0.19082362	8.595180999999999e-24	1.2007329999999999e-21
LOC111102476	35.48653058	-1.133912	0.22981799	3.508501e-08	5.11654e-07
LOC111102539	42.86724251	-1.699325	0.28463363	1.430691e-11	3.959594e-10
LOC111102633	62.00308616	1.685528	0.20621216	1.810991e-18	1.264963e-16
LOC111102645	85.97507106	-1.250293	0.14996597	2.863441e-18	1.968839e-16
LOC111102697	62.88309049	1.522621	0.19223642	2.6652560000000004e-17	1.584927e-15
LOC111102719	41.85781026	1.802431	0.18188738	1.653518e-25	2.6949280000000004e-23
LOC111102808	23.85757956	1.238299	0.2364379	5.169124e-09	8.920286e-08
LOC111102900	145.65813478	1.996003	0.25127364	7.641579e-18	4.981744e-16
