gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099064	114.06011404	-1.809593	0.46856749	2.109779e-08	3.529838e-06
LOC111099119	56.13028434	-1.43397	0.35677033	4.729419e-09	1.245089e-06
LOC111099468	87.83388448	1.083886	0.48487836	8.49805e-06	0.0002542156
LOC111099681	386.51325116	-1.508387	0.51684747	3.810605e-07	2.696342e-05
LOC111100613	595.65555257	-1.206767	0.20805079	1.304535e-13	7.784595e-10
LOC111100708	966.01828716	1.577825	0.25604406	2.527554e-13	1.131207e-09
LOC111100999	84.85114037	1.26284	0.33865972	1.349986e-08	2.518516e-06
LOC111102109	66.93998633	-1.809238	0.31619404	1.168191e-11	2.61412e-08
LOC111102928	48.73181735	-2.034659	0.50453846	1.350562e-08	2.518516e-06
LOC111104678	34.75639682	1.517157	0.45804976	9.698926e-08	9.978745e-06
LOC111104723	43.89920979	1.095323	0.24391352	5.299081e-10	2.790122e-07
LOC111106495	801.35997256	1.368808	0.44047293	1.920741e-07	1.56296e-05
LOC111106878	37.79168804	1.189474	0.32686257	2.283936e-08	3.751103e-06
LOC111108587	4280.10096361	-1.018317	0.41317401	5.769418e-06	0.0001898605
LOC111108685	70.1283882	1.041975	0.47985285	1.253357e-05	0.0003363957
LOC111111610	56.92720542	-1.025219	0.34332086	8.759824e-07	5.137094e-05
LOC111111843	115.53298948	1.087934	0.4201489	2.584534e-06	0.0001056355
LOC111111879	301.77380917	3.252551	0.9237003	2.603943e-08	4.083841e-06
LOC111111883	411.98443668	3.677684	0.83103961	1.706596e-09	6.698507e-07
LOC111112389	39.16859434	1.245396	0.48488821	1.644489e-06	8.0217e-05
LOC111112622	253.4944576	1.317198	0.92103638	2.248536e-05	0.000514871
LOC111112699	722.75640405	1.612175	0.64248965	1.225397e-06	6.418688e-05
LOC111113397	454.47121814	-1.108463	0.2233502	3.541053e-11	4.876302e-08
LOC111114586	79.67689294	-1.175696	0.56960768	9.967948e-06	0.0002857839
LOC111114630	94.84576072	-1.025143	0.38940367	3.151435e-06	0.0001250931
LOC111114706	729.8166387	1.272167	0.47215823	9.940665e-07	5.578614e-05
LOC111114749	35.32325957	-1.206625	0.25887049	1.222097e-10	1.041809e-07
LOC111115003	30.73756036	-1.032547	0.28585654	6.436952e-08	7.631412e-06
LOC111115384	45.54873801	-1.595841	0.51428088	2.098236e-07	1.66945e-05
LOC111115860	135.53241707	1.761484	0.65504631	6.553339e-07	4.087731e-05
LOC111116279	74.02773805	1.232431	0.64078488	1.210189e-05	0.0003282546
LOC111117829	118.6578723	-1.583193	0.47168262	8.870576e-08	9.341238e-06
LOC111118354	48.12388959	1.482793	0.45903445	1.268683e-07	1.176785e-05
LOC111118358	60.86042868	-1.080611	0.2659971	5.268627e-09	1.347414e-06
LOC111119097	401.26019232	1.13025	0.79926894	4.301259e-05	0.0008508413
LOC111119442	118.1979787	-1.279821	0.54856126	3.348135e-06	0.000130018
LOC111119705	90.04431521	-1.639925	0.3432689	4.097774e-10	2.22298e-07
LOC111120101	261.52917248	2.098884	0.33113157	6.024054e-13	2.156852e-09
LOC111120910	107.49698623	-1.017132	0.470416	1.464699e-05	0.0003789167
LOC111121115	68.80101222	-1.719169	0.46484011	3.257449e-08	4.81941e-06
LOC111121271	47.97021673	-1.127554	0.27752156	3.802809e-09	1.080744e-06
LOC111121541	444.02038587	1.041479	0.28492608	4.910959e-08	6.370724e-06
LOC111121619	32.06120436	-1.207376	0.37579514	1.451323e-07	1.312201e-05
LOC111121945	50.34073633	-1.83424	0.32125533	1.35534e-11	2.695923e-08
LOC111122010	71.74068843	-2.307958	0.57857248	1.25122e-08	2.43471e-06
LOC111122098	135.67004266	-1.019651	0.33376995	7.034613e-07	4.327617e-05
LOC111122246	140.78381268	-2.362347	0.41575006	1.167646e-11	2.61412e-08
LOC111122255	100.63107053	-2.844234	0.36977621	2.560455e-18	4.583726e-14
LOC111123176	32.23907498	-1.151789	0.31209906	2.041326e-08	3.480364e-06
LOC111123463	1925.59361023	1.217686	0.42353403	5.605482e-07	3.635846e-05
LOC111124627	54.09465565	-1.28421	0.51728671	2.03912e-06	9.080677e-05
LOC111125329	227.28623541	1.0186	0.30901535	2.745817e-07	2.100667e-05
LOC111125464	118.62802159	1.052738	0.32930875	3.136802e-07	2.320456e-05
LOC111126269	51.24780504	-1.143316	0.37722716	3.776519e-07	2.682827e-05
LOC111126705	177.36089592	-1.114152	0.59051633	1.97962e-05	0.0004706394
LOC111127803	1066.4079161	1.63239	0.92954688	6.334552e-06	0.0002046952
LOC111127886	71.81088326	-1.460605	0.37550176	8.969788e-09	1.934664e-06
LOC111127935	1026.2801952	4.621016	0.9989852	1.87947e-09	7.145639e-07
LOC111128025	57.05595834	1.104966	0.48504953	6.801273e-06	0.0002162636
LOC111128155	67.93593886	-1.02532	0.33843934	7.421294e-07	4.503593e-05
LOC111128410	99.14549431	1.283609	0.2385461	2.082222e-12	6.212658e-09
LOC111128443	58.27693639	1.21071	0.51285677	3.63089e-06	0.0001374211
LOC111128484	106.29933162	1.340087	0.37951043	3.355244e-08	4.883381e-06
LOC111128702	190.51382065	1.395171	0.35641206	6.775133e-09	1.661485e-06
LOC111128840	65.63955647	-1.094579	0.36236652	4.925596e-07	3.314963e-05
LOC111129386	139.55343328	1.858611	0.70115805	6.507535e-07	4.073353e-05
LOC111129561	108.32043243	1.153125	0.27994366	2.524842e-09	8.300021e-07
LOC111130455	812.45938143	3.627531	0.82971655	1.989022e-09	7.145639e-07
LOC111131076	27.81670007	1.005597	0.29297936	1.779041e-07	1.460935e-05
LOC111131151	182.45084908	-1.378358	0.56640856	2.038268e-06	9.080677e-05
LOC111131686	2141.38377144	1.108621	0.36074643	3.709577e-07	2.656354e-05
LOC111132807	99.18646673	2.500649	0.49292354	1.581502e-10	1.260944e-07
LOC111132860	57.75453998	-1.178444	0.30697301	9.164597e-09	1.95315e-06
LOC111133037	53.2091083	1.467155	0.29318343	5.126612e-11	5.723721e-08
LOC111133376	1050.28612323	1.387981	0.4398252	1.597169e-07	1.381281e-05
LOC111134185	183.66757475	-1.469511	0.29293	4.890297e-11	5.723721e-08
LOC111134208	312.28892433	1.036248	0.65222797	5.041742e-05	0.0009500765
LOC111134705	126.49970768	-1.658237	0.2310415	1.038305e-15	9.293868e-12
LOC111134793	177.51093838	1.541329	0.85339228	7.079588e-06	0.0002227395
LOC111135564	315.94205912	1.026022	0.57917836	3.752512e-05	0.0007670934
LOC111136124	149.49034448	1.005885	0.23016306	2.609817e-09	8.343026e-07
LOC111136237	40.29980527	1.128682	0.42380482	1.656646e-06	8.059042e-05
LOC111136817	39.08887826	-1.304498	0.46530869	6.345462e-07	3.999876e-05
LOC111137179	34.97680732	-1.266015	0.35696147	3.09976e-08	4.676624e-06
LOC111137397	195.67325817	1.01156	0.41279245	6.294495e-06	0.0002037686
LOC111137591	425.77972592	1.605576	0.34692042	6.656623e-10	3.299773e-07
LOC111138165	2694.66905728	1.297093	0.40738673	1.445975e-07	1.312201e-05
LOC111138307	141.07450853	-1.38454	0.35222853	6.135813e-09	1.525602e-06
