gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111100618	29.01448188	-1.735986	0.32811018	1.432426e-09	7.397972e-06
LOC111101211	22.3307896	-1.785155	0.45220253	1.894956e-07	0.0005252819
LOC111101316	16.84004198	-1.200385	0.22738947	1.18232e-08	3.932868e-05
LOC111102633	26.14755258	-1.036398	0.31749019	6.70069e-06	0.005572294
LOC111103073	7.62602494	-1.257852	0.5825369	1.819301e-05	0.01080665
LOC111107891	37.51803258	1.702988	0.44576641	3.672842e-07	0.0007635838
LOC111109934	70.19228663	1.283939	0.43899404	7.155257e-06	0.005666963
LOC111111613	20.45583359	-1.614037	0.2995514	1.480328e-09	7.397972e-06
LOC111112374	7.77846095	1.082385	0.52647324	3.621498e-05	0.01805271
LOC111112876	29.04855509	-1.10051	0.28628931	1.989752e-06	0.003008504
LOC111114294	2265.24927314	1.1932	0.34461249	3.762074e-06	0.003910676
LOC111117829	24.00983065	-1.384885	0.45232454	4.35475e-06	0.004139587
LOC111119043	45.14100012	2.304291	0.45128311	6.28018e-11	1.04452e-06
LOC111119289	5.12431675	-1.061649	0.59967291	4.963384e-05	0.02231108
LOC111120643	62.52705962	1.058584	0.2727299	1.886395e-06	0.003008504
LOC111120711	5.15315733	-1.10373	0.38255696	1.153074e-05	0.007990801
LOC111121115	14.9550986	-1.882475	0.53711642	2.751853e-07	0.0006538402
LOC111121954	55.33936401	-1.09783	0.35936158	8.907549e-06	0.00644132
LOC111124198	6.22902405	1.630781	0.61832244	2.572661e-06	0.003291423
LOC111124880	23.62197335	-1.317587	0.75295645	1.525969e-05	0.009761504
LOC111126304	14.74640407	1.00629	0.44027065	3.289059e-05	0.01764633
LOC111127198	34.40594109	1.004362	0.59759838	6.472275e-05	0.02732934
LOC111128694	680.73162123	9.212112	1.63561717	1.779214e-09	7.397972e-06
LOC111130717	7.30549715	-1.181217	0.30937175	1.892789e-06	0.003008504
LOC111130979	29.92682534	-1.470851	0.52691556	4.480073e-06	0.004139587
LOC111133156	4.65882818	-1.247086	0.5465636	1.70574e-05	0.01050736
LOC111134291	44.90523034	-1.225573	0.33489407	2.42576e-06	0.003291423
