gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	source_file
LOC111103784	105.98971456	-1.548385	0.45337953	1.328057e-05	0.0042760696	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111103803	326.69065664	-1.232417	0.40684764	5.597532e-05	0.0081887339	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111103803	337.94422436	-1.183682	0.29132816	4.76795e-06	0.0005176398	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111103873	153.51787378	-1.08097	0.23313042	6.940039e-07	0.0001369846	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111103873	165.44187179	-1.024529	0.34409948	7.703521e-05	0.0096566469	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104056	168.38276799	-1.519614	0.32298107	1.006802e-07	4.322674e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104056	209.8872651	-1.38579	0.44749895	3.677495e-05	0.0065177369	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104060	191.40050129	-1.313547	0.39253637	2.649611e-05	0.0057458339	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104060	143.05023304	-1.362679	0.29196694	2.481823e-07	7.473833e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104078	30.79672473	1.460234	0.72386228	5.317495e-05	0.003043243	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104078	38.07367027	1.214357	0.88547398	0.0002016569	0.0164186568	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104143	511.00489365	-1.104473	0.58707458	0.0004099148	0.0245872569	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104143	518.27524798	-1.17154	0.40123791	8.23446e-05	0.00426842	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104165	57.739806	-1.4486	0.28149291	1.718193e-08	1.868903e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104165	55.14686929	-1.420766	0.3595525	4.951246e-06	0.0029432763	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104371	45.66877056	-1.447762	0.29724358	6.695747e-08	3.763902e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104371	46.6626266	-1.370892	0.35585649	7.254316e-06	0.0035039037	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104625	30.69489968	-1.198681	0.73919327	0.000351757	0.0222643841	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111104625	39.33853686	-1.535027	0.47005428	9.655869e-06	0.0008692344	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105338	35.4151148	-1.330851	0.69823591	0.0001141884	0.005319538	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105338	45.27729993	-1.4135	0.84923189	9.60815e-05	0.0106914742	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105366	138.55164459	-1.361176	0.37350654	1.254317e-05	0.0042170644	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105366	140.44558471	-1.38391	0.28445002	9.159773e-08	4.16799e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105453	12.33295305	-1.211151	0.54228089	0.0002038867	0.0165404932	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105453	13.89334829	-1.295266	0.49478307	8.478343e-05	0.004323955	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105826	432.98686449	-2.08009	0.44183556	2.223675e-09	7.03126e-06	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105826	412.67600526	-2.044548	0.49012198	3.162985e-07	0.001426696	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105850	99.38192035	-1.355151	0.3117545	9.684944e-07	0.0001725284	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111105850	95.99916546	-1.26914	0.46420041	8.665097e-05	0.0101282477	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111106130	189.68102212	-1.493176	0.32784	2.224959e-07	7.309425e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111106130	176.44412485	-1.349275	0.46344237	5.484552e-05	0.0081377044	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111106484	32.70747347	-1.001451	0.84620253	0.0005873869	0.0298103865	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111106484	48.14177081	-1.144991	0.66440305	0.0003379771	0.01155333	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111106911	74.81764794	-2.07381	0.92385761	2.347043e-06	0.0003158021	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111106911	47.87045459	-1.521365	0.95494585	2.099782e-05	0.0050379143	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111106912	22.28422508	-2.806882	1.21945851	2.532909e-07	7.482546e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111106912	26.56613265	-1.821687	0.93399837	2.842966e-06	0.0025145119	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
