gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111107208	237.26791492	-1.290401	0.31338284	2.851473e-06	0.0003606543
LOC111107543	239.32630969	-1.498986	0.28807893	1.003158e-08	1.335573e-05
LOC111107750	97.62042631	1.234729	0.34290029	1.583839e-05	0.001271898
LOC111107827	153.77899978	-1.148342	0.26870644	2.51147e-06	0.000327475
LOC111107928	6.34004337	-1.384679	0.82125856	7.179156e-05	0.003791314
LOC111108058	65.99839127	-1.076513	0.47628884	0.0003125102	0.0109038
LOC111108228	109.15297431	-1.052368	0.26317237	7.789589e-06	0.0007463843
LOC111108234	116.7799353	-1.205327	0.31499535	9.341593e-06	0.0008592906
LOC111108345	1349.46038224	1.328544	0.37876932	1.448405e-05	0.001193448
LOC111108589	141.68240827	-1.097547	0.27410722	7.060499e-06	0.0006990177
LOC111108615	84.27668709	-1.076435	0.31502353	3.665898e-05	0.002341731
LOC111108652	248.24831062	-1.036201	0.33837538	8.592439e-05	0.004365806
LOC111109471	189.68846906	-1.007933	0.30469307	5.265372e-05	0.00302711
LOC111109540	85.2113671	-1.375395	0.64055779	8.612181e-05	0.004365806
LOC111109553	252.81261675	-1.071247	0.26289498	5.907063e-06	0.0006098983
LOC111109784	50.43914372	-1.246767	0.67432361	0.0001885488	0.007668056
LOC111110008	121.01371558	-1.192802	0.27355844	1.610028e-06	0.0002435259
LOC111110093	146.26391359	-1.099545	0.46447814	0.0002500166	0.009286959
LOC111110111	33.06407374	-1.127759	0.38833692	9.58001e-05	0.004701199
LOC111110144	5.19736091	-1.559011	0.88202024	2.910452e-05	0.001950347
LOC111110309	895.56579227	-1.066459	0.90382545	0.0002046253	0.008075199
LOC111110446	601.92383548	1.014186	0.82592112	0.0003611756	0.01203728
LOC111110512	8.36384636	-1.331408	1.1116813	5.112187e-05	0.002979759
LOC111110683	79.87111688	-1.605852	0.33255719	3.558253e-08	2.673547e-05
LOC111110857	24.63800999	-1.025742	0.67355455	0.0006348625	0.01776491
LOC111110905	18.21675765	-1.334211	0.80059116	9.589732e-05	0.004701199
LOC111110920	481.56340536	-1.298356	0.28206906	4.228621e-07	9.904371e-05
LOC111111091	98.58364511	-1.735393	0.3465176	6.819168e-09	1.078111e-05
LOC111111239	9.51226678	-1.165465	0.5835349	0.0002858938	0.01033139
LOC111111254	128.74002231	1.477722	0.36528453	1.663788e-06	0.0002475717
LOC111111272	5.3831097	-1.409565	0.40727466	1.161984e-05	0.001010087
LOC111111305	552.01315678	1.249342	0.27686988	7.36502e-07	0.0001411406
LOC111111627	37.08689411	-1.170614	0.64801114	0.0002948556	0.01054161
LOC111111816	62.4939668	-1.44545	0.57490643	4.578426e-05	0.002770714
LOC111112113	312.05356015	-1.003457	0.27049599	1.943526e-05	0.00146064
LOC111112295	187.19822618	-1.281937	0.31282777	3.140706e-06	0.0003856665
LOC111112418	25.62985531	-1.971451	0.33945231	1.805462e-11	4.567097e-07
LOC111112580	234.03828394	-1.089564	0.30223385	2.24818e-05	0.001634195
LOC111112620	375.71687382	-1.097593	0.29986928	1.915696e-05	0.001455238
LOC111112623	298.73979863	-1.066296	0.30050155	2.709666e-05	0.001862601
LOC111112848	70.27767599	-1.317293	0.28882497	4.715213e-07	0.0001055995
LOC111113037	31.78218219	1.067964	0.3561691	9.201635e-05	0.00458198
LOC111113324	49.48797911	-1.450437	0.32519561	4.063167e-07	9.739031e-05
LOC111113346	68.39341121	-1.187314	0.28242232	2.913568e-06	0.0003666747
LOC111113862	8.78378864	-1.025607	0.48079073	0.0004361574	0.01384894
LOC111114510	81.49385988	-1.21477	0.36709975	3.345323e-05	0.002181013
LOC111114571	13.11313012	-1.127739	0.51886125	0.0002893011	0.01042473
LOC111114607	84.81036464	-1.452813	0.3567318	1.710217e-06	0.0002517758
LOC111114659	80.18963596	-1.991993	0.92474775	3.638442e-06	0.0004136628
LOC111114660	17.95436634	-1.488345	0.86667043	4.098499e-05	0.002547313
LOC111114681	397.42217355	-1.410848	0.79952381	6.527975e-05	0.003551218
LOC111114708	26.64833538	-1.35708	0.64904451	9.734456e-05	0.004735438
LOC111114815	119.85467476	-1.265253	0.35874355	1.728759e-05	0.00134556
LOC111114966	339.87706664	1.022509	0.29838496	3.909893e-05	0.002457884
LOC111115075	16.56972671	-1.435425	0.34736099	1.509576e-06	0.0002357175
LOC111115107	112.81259689	-1.153446	0.27076257	2.605769e-06	0.0003363038
LOC111115218	16.81730987	-1.052711	0.80153377	0.0003519915	0.01180899
LOC111115394	6.74493981	-1.184561	0.57157911	0.0002478253	0.009246297
LOC111115419	81.47050309	-1.072685	0.42014711	0.0002033976	0.00803929
LOC111115421	174.74424303	-1.548567	0.29063061	4.04206e-09	8.896895e-06
LOC111115493	191.92349153	-1.037148	0.72304502	0.0005276201	0.01559191
LOC111115715	117.74440984	-1.2385	0.27471539	7.762247e-07	0.0001454473
LOC111115822	63.31514728	-1.145846	0.4816906	0.0002102102	0.008218665
LOC111115887	6.58279342	-1.837949	0.88290489	7.422432e-06	0.0007233082
LOC111116005	147.11924043	-1.521798	0.3220854	9.101936e-08	4.16799e-05
LOC111116029	42.79646812	-1.175167	0.31422535	1.294522e-05	0.001091752
LOC111116050	50.20268555	-1.017708	0.52436963	0.000566347	0.01639166
LOC111116214	30.43260215	1.482696	0.66647035	4.503804e-05	0.002751889
LOC111116430	4.95143701	1.150134	0.85273814	0.0001878492	0.007651906
LOC111116581	120.27897977	-1.05765	0.38540384	0.0001519316	0.006558467
LOC111117039	241.71923874	-1.094699	0.29869929	1.902927e-05	0.001449893
LOC111117293	27.70516816	-1.941734	1.84550453	9.543448e-06	0.0008652727
LOC111117481	16.31883668	-1.094412	0.58470143	0.0004339852	0.01380892
LOC111117741	107.35653647	-1.104093	0.71977563	0.0003811307	0.01260272
LOC111117789	75.27694365	-1.741744	0.51210473	2.241427e-06	0.0003098313
LOC111117861	9.80376291	-2.767177	1.27357455	3.924515e-07	9.653879e-05
LOC111117882	83.12232981	-1.047923	0.22102429	4.717247e-07	0.0001055995
LOC111117983	49.64461605	-1.18736	0.41268452	8.466436e-05	0.004323955
LOC111117984	104.06946847	-1.127204	0.25983834	2.080175e-06	0.0002958819
LOC111118000	44.10928241	-1.084272	0.4349686	0.0002170361	0.008417689
LOC111118008	19.75926294	-1.460709	0.46211498	1.710648e-05	0.001338963
LOC111118031	58.5095535	-1.136084	0.59218115	0.000345484	0.01171496
LOC111118045	262.47287719	-1.044635	0.25473747	5.670351e-06	0.0005902765
LOC111118080	8.48647606	-1.205046	0.39048124	5.450377e-05	0.003089283
LOC111118097	355.83306599	1.294392	0.68490579	0.0001422571	0.006280169
LOC111118098	653.9905428	1.289125	0.62561912	0.0001446705	0.006325485
LOC111118129	88.96674916	-1.267513	0.37352295	2.346854e-05	0.001689491
LOC111118185	220.65604775	-1.350767	0.28064459	1.343924e-07	5.212635e-05
LOC111118218	132.43586431	-1.101002	0.36608327	8.409418e-05	0.004314901
