gene,selection_prob,mean_abs_coef_when_selected
LOC111102778,1.0,0.1946948030201664
LOC111103896,1.0,0.18411557947917995
LOC111133512,1.0,0.12213226875933929
LOC111128352,1.0,0.1183703735330039
LOC111100483,1.0,0.11736239021106265
LOC111131490,1.0,0.1171396953581063
LOC111112879,1.0,0.11649327026938827
LOC111114036,1.0,0.09598567840918362
LOC111099745,1.0,0.08765118254873512
LOC111134631,1.0,0.08267602524218258
LOC111124918,1.0,0.08096222272493836
LOC111125640,1.0,0.07179603492429495
LOC111099759,1.0,0.06466846743844633
LOC111107094,0.9966666666666667,0.08240016315843886
LOC111105518,0.9966666666666667,0.08060189512926824
LOC111130635,0.9966666666666667,0.07498380388210713
LOC111110674,0.99,0.08002002346094324
LOC111130265,0.9833333333333333,0.06867581115134136
LOC111135876,0.98,0.07221307263985795
LOC111137879,0.98,0.04487880175678309
LOC111106307,0.98,0.036014036618934465
LOC111128606,0.9766666666666667,0.06027700727958868
LOC111121496,0.9633333333333334,0.07395132403935434
LOC111104925,0.9566666666666667,0.055288347291026566
LOC111100939,0.93,0.04763537501220365
LOC111133169,0.9266666666666666,0.056784604815919036
LOC111133275,0.9,0.047835435825110684
LOC111133096,0.9,0.035070963987153425
LOC111108289,0.88,0.04834175010718418
LOC111099596,0.8633333333333333,0.03884757251548171
LOC111111916,0.8433333333333334,0.04434980190459655
LOC111127637,0.8333333333333334,0.03978383124734066
LOC111113809,0.8,0.04864194829825628
LOC111106004,0.8,0.03313688648822146
LOC111100459,0.74,0.03412982858248799
LOC111114634,0.7233333333333334,0.03154702957224413
LOC111111181,0.7166666666666667,0.03850667366867273
LOC111101070,0.6833333333333333,0.030089674364636578
LOC111111122,0.68,0.037431123486507414
LOC111136160,0.66,0.029157450297927455
LOC111101833,0.6533333333333333,0.027457915368652972
LOC111112348,0.64,0.03861299611234904
LOC111102493,0.6366666666666667,0.031884832616056395
LOC111108334,0.6366666666666667,0.03077360127517164
LOC111102902,0.5866666666666667,0.028585751160724673
LOC111121765,0.57,0.033112862691657606
LOC111115587,0.56,0.027874381209284198
LOC111103783,0.5466666666666666,0.0309051919363702
LOC111101364,0.5233333333333333,0.031365000674981575
LOC111108554,0.5133333333333333,0.030004084700183207
LOC111100506,0.5066666666666667,0.03580580181155033
LOC111129632,0.5033333333333333,0.019641025000128744
LOC111101786,0.5,0.024852158146250632
LOC111116249,0.49666666666666665,0.03095791431154129
LOC111101121,0.48333333333333334,0.031049545779072114
LOC111107530,0.4766666666666667,0.02830322819790959
LOC111103215,0.4666666666666667,0.02474814612510784
LOC111130689,0.44333333333333336,0.02762007665177734
LOC111101539,0.44,0.030809467387542033
LOC111136393,0.43666666666666665,0.03199190648617473
LOC111116919,0.43333333333333335,0.02300570295829463
LOC111128269,0.42,0.023321062446043893
LOC111122487,0.41333333333333333,0.0324857254462633
LOC111128317,0.4,0.024512545234203344
LOC111102947,0.39666666666666667,0.0247318340560634
LOC111105712,0.38,0.022817617830646668
LOC111113659,0.37,0.01722181308322832
LOC111104478,0.36333333333333334,0.019294268371303342
LOC111102274,0.3566666666666667,0.03280748325630974
LOC111132066,0.3566666666666667,0.013680431239708357
LOC111131098,0.3466666666666667,0.035705042258731105
LOC111124557,0.34,0.02305394824676805
LOC111103663,0.30333333333333334,0.028127170908407995
LOC111116231,0.3,0.05317842178826268
LOC111109594,0.29,0.019815347010434733
LOC111114633,0.2866666666666667,0.015172033152698005
LOC111125037,0.2833333333333333,0.015155764915370764
LOC111099056,0.28,0.01813382742292222
LOC111100916,0.2733333333333333,0.02949291123991104
LOC111132737,0.2733333333333333,0.027132898358666002
LOC111101604,0.27,0.03330497382434265
LOC111115028,0.26666666666666666,0.022631246678988314
LOC111110145,0.25666666666666665,0.017323379411287365
LOC111105308,0.25333333333333335,0.026224814660237093
LOC111114926,0.24666666666666667,0.026253507256930365
LOC111111545,0.24333333333333335,0.024999717347530627
LOC111129418,0.24333333333333335,0.015025992933344605
LOC111108577,0.24,0.021948280111063895
LOC111110040,0.24,0.014926198773513909
LOC111106843,0.23666666666666666,0.10982780436976622
LOC111119957,0.23666666666666666,0.04819902890081743
LOC111104698,0.23666666666666666,0.022539242978176083
LOC111099169,0.23666666666666666,0.015535663666075058
LOC111117036,0.23,0.034569851633269824
LOC111137898,0.22666666666666666,0.016828178160837187
LOC111120175,0.22333333333333333,0.02281462306750007
LOC111110390,0.22333333333333333,0.019726274386822458
LOC111126924,0.21666666666666667,0.019895310524268982
LOC111136617,0.21666666666666667,0.01662865174093708
LOC111112018,0.20666666666666667,0.013642129109730112
LOC111108709,0.2,0.019511859370088067
LOC111104777,0.19666666666666666,0.030290713968092773
LOC111126704,0.17666666666666667,0.02955970229309581
LOC111117091,0.17333333333333334,0.017932223783742658
LOC111104922,0.17,0.025642250217355313
LOC111137136,0.16666666666666666,0.013961513789704547
LOC111132829,0.16333333333333333,0.017966265810859826
LOC111101409,0.16,0.027191392527932647
LOC111113845,0.16,0.020274318947951214
LOC111116301,0.15333333333333332,0.026625408931561182
LOC111111199,0.15333333333333332,0.017702728687518317
LOC111134177,0.15,0.012397493768493235
LOC111127489,0.14333333333333334,0.024424572256402877
