heldout_study,trained_on,n_samples,n_tolerant,n_sensitive,auroc,aupr,brier
Study 2 (Louisiana field),Study 3 (Dermo challenge) + Study 4 (VIMS challenge),40,24,16,0.4609375,0.6002713081757405,0.5005294855615554
Study 3 (Dermo challenge),Study 2 (Louisiana field) + Study 4 (VIMS challenge),10,5,5,0.0,0.3543650793650793,0.5038477941182886
Study 4 (VIMS challenge),Study 2 (Louisiana field) + Study 3 (Dermo challenge),44,30,14,0.3380952380952381,0.641886067666143,0.5894326980357211
